Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity
1,12.0,786.0,46.0,246.0,0.7856508332676743
2,13.0,780.0,46.0,585.0,0.8658646313809697
3,13.0,774.0,47.0,778.0,0.9332568835973444
4,10.0,777.0,45.0,672.0,0.8931021598543959
5,13.0,776.0,47.0,746.0,0.9046780897763192
6,13.0,777.0,45.0,688.0,0.8941226321917426
7,18.0,780.0,47.0,473.0,0.8217739719948368
8,8.0,774.0,44.0,754.0,0.9191309112367588
9,14.0,777.0,46.0,708.0,0.8944422559175396
10,10.0,775.0,44.0,739.0,0.8840803263204355
11,14.0,764.0,54.0,311.0,0.3193641662751628
