Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,14.0,437.0,70.0,697.0,0.0969222959937868,14.0
1,13.0,439.0,68.0,698.0,0.1949146124794867,
2,14.0,442.0,70.0,694.0,0.07568258885343,
3,14.0,441.0,67.0,696.0,0.1860989076512618,
4,13.0,439.0,65.0,699.0,0.1328434885010719,
5,14.0,442.0,68.0,693.0,0.1493837398530534,
6,13.0,446.0,64.0,694.0,0.142947281488688,
7,13.0,445.0,62.0,696.0,0.1680361102698362,
8,13.0,448.0,64.0,696.0,0.1860143080670975,
9,13.0,452.0,68.0,694.0,0.1429472814886872,
10,13.0,453.0,64.0,700.0,0.1133586909744863,
11,13.0,454.0,65.0,698.0,0.1330515866391204,
12,12.0,455.0,62.0,696.0,0.1201920057218083,
13,12.0,454.0,66.0,698.0,0.1949146124794867,
14,12.0,455.0,67.0,699.0,0.109893795200909,
15,13.0,455.0,71.0,695.0,0.0825714340761932,
16,14.0,453.0,72.0,698.0,0.1975260872914827,
17,16.0,456.0,72.0,699.0,0.1265329666100055,
18,16.0,458.0,75.0,701.0,0.1251127846541017,
19,15.0,458.0,72.0,696.0,0.1698741797769048,
