Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,59.0,1219.0,328.0,1367.0,0.874278810230836,59.0
1,59.0,1221.0,328.0,1329.0,0.8551479247971583,
2,60.0,1224.0,326.0,1334.0,0.8601208953959857,
3,59.0,1226.0,324.0,1293.0,0.8377027817609082,
4,62.0,1226.0,324.0,1196.0,0.7937472666676643,
5,61.0,1228.0,324.0,1215.0,0.8015996376488439,
6,59.0,1230.0,325.0,1298.0,0.8408506630023327,
7,61.0,1228.0,326.0,1297.0,0.8432446461547233,
8,61.0,1231.0,330.0,1288.0,0.8375035243891925,
9,59.0,1231.0,332.0,1304.0,0.8430218148948797,
10,58.0,1233.0,332.0,1340.0,0.8687088197390521,
11,57.0,1235.0,333.0,1373.0,0.8843416444454785,
12,62.0,1246.0,347.0,696.0,0.1595700974003391,
