Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,28.0,421.0,160.0,1345.0,0.865132233471173,28.0
1,28.0,419.0,161.0,1324.0,0.8499398782845585,
2,28.0,421.0,161.0,1332.0,0.8567801503573891,
3,26.0,419.0,162.0,1347.0,0.861838391353478,
4,28.0,421.0,163.0,1384.0,0.8868432661401209,
5,28.0,421.0,163.0,1381.0,0.8816695836192708,
6,28.0,423.0,163.0,1387.0,0.8903194999954189,
7,27.0,427.0,165.0,1392.0,0.8946537064923771,
8,34.0,414.0,177.0,696.0,0.1372885412216726,
9,33.0,415.0,177.0,698.0,0.1975260872914827,
10,35.0,412.0,180.0,699.0,0.1279611154824579,
11,32.0,414.0,177.0,698.0,0.125013475153036,
12,33.0,416.0,179.0,690.0,0.1408844682108546,
13,32.0,416.0,176.0,695.0,0.081069357014949,
14,31.0,418.0,178.0,694.0,0.0986219845638962,
