Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,44.0,13.0,250.0,677.0,0.232224331343194,44.0
1,43.0,16.0,249.0,694.0,0.1490485695735602,
2,44.0,13.0,252.0,683.0,0.2836960994070384,
3,44.0,12.0,255.0,666.0,0.3641123160531377,
4,46.0,10.0,256.0,597.0,0.5594289221260468,
5,46.0,11.0,258.0,649.0,0.445612432101001,
6,49.0,13.0,257.0,684.0,0.2612136894133667,
7,50.0,14.0,260.0,695.0,0.1722763100814569,
8,49.0,17.0,259.0,698.0,0.1636160985095797,
9,49.0,16.0,263.0,697.0,0.1169704729455596,
10,48.0,16.0,260.0,694.0,0.0880716591734089,
11,51.0,14.0,263.0,697.0,0.084471824313714,
12,51.0,14.0,263.0,700.0,0.0478627043569959,
13,52.0,13.0,265.0,679.0,0.2185176734056921,
14,47.0,12.0,261.0,664.0,0.3960781966053385,
15,51.0,13.0,264.0,691.0,0.0601845162527953,
16,53.0,15.0,268.0,694.0,0.1634164698082791,
17,54.0,14.0,268.0,700.0,0.1596582288965584,
18,54.0,15.0,269.0,699.0,0.1411231926669992,
19,52.0,13.0,268.0,682.0,0.1994937773782267,
20,51.0,13.0,268.0,695.0,0.1276826431173332,
21,54.0,14.0,272.0,697.0,0.1038915096826075,
22,53.0,13.0,273.0,687.0,0.233247995398559,
23,52.0,14.0,270.0,697.0,0.1745851397911102,
24,50.0,14.0,267.0,698.0,0.0854748504657069,
25,50.0,17.0,268.0,696.0,0.1419062071694181,
26,52.0,15.0,267.0,694.0,0.1612285145495149,
27,50.0,15.0,265.0,699.0,0.1247429445222026,
28,51.0,18.0,269.0,697.0,0.1745851397911102,
29,49.0,19.0,271.0,697.0,0.0888719481316036,
30,52.0,15.0,274.0,686.0,0.0953429246498078,
