Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,49.0,247.0,271.0,1372.0,0.875120844539868,49.0
1,47.0,246.0,267.0,1370.0,0.8792724715894175,
2,49.0,243.0,269.0,1376.0,0.8754840842600505,
3,47.0,245.0,271.0,1315.0,0.8501722657061455,
4,52.0,246.0,271.0,1222.0,0.8029794169306897,
5,51.0,247.0,268.0,1136.0,0.7536980895122007,
6,54.0,247.0,270.0,1071.0,0.7080909658764581,
7,54.0,244.0,273.0,1024.0,0.673237651847799,
8,53.0,245.0,273.0,1176.0,0.7670306703878436,
9,51.0,246.0,272.0,1140.0,0.7501067456045794,
10,50.0,242.0,273.0,1137.0,0.7500771716744087,
11,49.0,242.0,270.0,1163.0,0.7717144297030254,
12,49.0,242.0,269.0,1159.0,0.7608225718733994,
13,47.0,243.0,266.0,1103.0,0.7240507568162816,
14,45.0,235.0,279.0,1822.0,0.931722268185982,
15,49.0,241.0,267.0,1075.0,0.7141750645499374,
16,50.0,240.0,267.0,1078.0,0.7191719035480751,
17,49.0,240.0,267.0,1112.0,0.7372667264984507,
18,49.0,235.0,282.0,1833.0,0.910643519111808,
19,51.0,236.0,282.0,1731.0,0.9062234129835072,
20,48.0,239.0,281.0,1778.0,0.9189181691715064,
21,51.0,245.0,268.0,968.0,0.6256852199396354,
22,50.0,239.0,284.0,1772.0,0.9167118666497156,
23,51.0,239.0,287.0,1715.0,0.9124093524872884,
24,52.0,236.0,286.0,1729.0,0.8985109759213075,
25,51.0,235.0,286.0,1703.0,0.8738569167794001,
26,53.0,234.0,285.0,1857.0,0.8871679334958663,
27,51.0,234.0,284.0,1829.0,0.8882699109845494,
28,50.0,234.0,283.0,1983.0,0.8956280579452862,
29,48.0,233.0,285.0,1856.0,0.8829873450476192,
30,49.0,236.0,270.0,992.0,0.6558252895008475,
31,48.0,237.0,269.0,897.0,0.5510913682992181,
32,47.0,233.0,270.0,932.0,0.5923260087029644,
33,47.0,234.0,271.0,1099.0,0.7334782929854518,
34,48.0,235.0,273.0,1149.0,0.7568696268391018,
35,48.0,233.0,271.0,1162.0,0.7645398387340508,
36,48.0,231.0,287.0,1859.0,0.9312386209876384,
37,46.0,231.0,285.0,1922.0,0.924429104816032,
38,46.0,233.0,286.0,1979.0,0.9312611082176876,
39,46.0,235.0,271.0,1325.0,0.851209369228252,
40,45.0,229.0,256.0,698.0,0.1143012269592118,
41,46.0,232.0,254.0,698.0,0.1949146124794867,
42,46.0,233.0,255.0,700.0,0.105230426619441,
43,41.0,233.0,253.0,695.0,0.1691114053173407,
44,43.0,233.0,257.0,690.0,0.1452311637268813,
45,45.0,231.0,255.0,699.0,0.0825479239461004,
