Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,36.0,1239.0,189.0,695.0,0.19040072366619,36.0
1,36.0,1236.0,189.0,689.0,0.1196338820944384,
2,36.0,1239.0,185.0,696.0,0.1162924616969247,
3,34.0,1240.0,189.0,699.0,0.1081087044947627,
4,36.0,1238.0,188.0,694.0,0.1004756751106812,
5,36.0,1238.0,187.0,697.0,0.0836714411459924,
6,36.0,1241.0,189.0,697.0,0.125645467357372,
7,35.0,1244.0,186.0,692.0,0.1158445035631088,
8,37.0,1244.0,183.0,695.0,0.1521800620930094,
9,36.0,1244.0,184.0,689.0,0.0961102537430063,
10,36.0,1244.0,187.0,688.0,0.095232974606021,
11,36.0,1242.0,187.0,694.0,0.1157312232263687,
12,35.0,1243.0,189.0,698.0,0.1553981823655208,
13,35.0,1240.0,189.0,698.0,0.1553981823655208,
14,34.0,1244.0,186.0,695.0,0.1910929906747429,
15,33.0,1243.0,187.0,694.0,0.1339969802140112,
16,34.0,1245.0,184.0,697.0,0.1791910489325879,
17,34.0,1248.0,184.0,692.0,0.0803313745909416,
18,33.0,1249.0,183.0,694.0,0.0636109900677858,
19,33.0,1253.0,184.0,689.0,0.1596090876583824,
20,31.0,1256.0,182.0,694.0,0.1432579924686416,
21,33.0,1252.0,180.0,687.0,0.140238097961859,
22,32.0,1249.0,183.0,692.0,0.1407074488283202,
23,33.0,1249.0,185.0,691.0,0.0699919651159229,
24,33.0,1251.0,185.0,694.0,0.0723491441272358,
25,34.0,1248.0,186.0,699.0,0.1309794705794067,
26,35.0,1250.0,189.0,692.0,0.1153513761476514,
27,33.0,1248.0,193.0,698.0,0.195384838495127,
28,34.0,1244.0,190.0,695.0,0.0598031004469373,
29,32.0,1241.0,191.0,696.0,0.0611617031137074,
30,34.0,1238.0,195.0,699.0,0.1627135942178565,
31,34.0,1240.0,198.0,691.0,0.1440103205651079,
32,33.0,1242.0,202.0,700.0,0.0919221783221476,
33,34.0,1242.0,204.0,691.0,0.0956641701809855,
34,35.0,1246.0,205.0,697.0,0.1927917267631674,
35,35.0,1245.0,206.0,692.0,0.1407074488283202,
36,35.0,1243.0,207.0,695.0,0.1839265715446401,
37,34.0,1243.0,209.0,698.0,0.1686866673189547,
38,35.0,1240.0,211.0,698.0,0.1975260872914827,
39,34.0,1238.0,207.0,697.0,0.1567657582895341,
40,33.0,1240.0,207.0,696.0,0.040912652878852,
41,34.0,1241.0,209.0,699.0,0.1309794705794067,
42,35.0,1241.0,211.0,698.0,0.1975260872914827,
43,33.0,1244.0,212.0,694.0,0.1432579924686416,
44,33.0,1242.0,215.0,692.0,0.1553612261186262,
45,36.0,1242.0,214.0,696.0,0.1860989076512618,
46,37.0,1240.0,212.0,698.0,0.0875508821558597,
47,38.0,1242.0,211.0,695.0,0.1253515113804276,
48,36.0,1242.0,211.0,694.0,0.1068186947680093,
49,39.0,1240.0,214.0,696.0,0.1863395612771897,
50,37.0,1237.0,215.0,688.0,0.1361453693606527,
51,37.0,1239.0,213.0,697.0,0.1848541112556628,
52,36.0,1236.0,211.0,695.0,0.1351108874753239,
53,35.0,1239.0,208.0,692.0,0.1185517994136422,
54,37.0,1240.0,210.0,691.0,0.108347402542061,
55,34.0,1237.0,206.0,699.0,0.0981027641901856,
56,34.0,1240.0,205.0,696.0,0.133868614053968,
57,34.0,1243.0,207.0,696.0,0.1698741797769048,
58,35.0,1241.0,208.0,698.0,0.1978422841793261,
59,35.0,1244.0,209.0,689.0,0.0856508010600818,
