Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,43.0,1022.0,249.0,700.0,0.0478627043569959,43.0
1,44.0,1018.0,251.0,690.0,0.1512389534795458,
2,46.0,1020.0,254.0,695.0,0.174556638190305,
3,42.0,1024.0,251.0,696.0,0.1698741797769048,
4,45.0,1020.0,254.0,693.0,0.1282328557546378,
5,48.0,1017.0,258.0,695.0,0.0648730516750684,
6,47.0,1021.0,255.0,694.0,0.0965315208430084,
7,48.0,1021.0,258.0,697.0,0.1415912063497315,
8,48.0,1021.0,258.0,698.0,0.1695477619088279,
9,48.0,1017.0,258.0,688.0,0.1509047755088109,
10,45.0,1019.0,256.0,695.0,0.1661443007592072,
11,45.0,1016.0,254.0,695.0,0.1276826431173332,
12,45.0,1018.0,255.0,694.0,0.1831808659298026,
13,46.0,1022.0,257.0,696.0,0.1779840209669054,
14,44.0,1022.0,254.0,692.0,0.1153513761476514,
15,44.0,1023.0,254.0,690.0,0.0680214512530243,
16,45.0,1026.0,251.0,694.0,0.1840486346227314,
17,46.0,1029.0,255.0,691.0,0.1532983361632893,
18,44.0,1026.0,252.0,694.0,0.133536340958269,
19,43.0,1025.0,250.0,691.0,0.1361555465546849,
20,42.0,1024.0,253.0,698.0,0.1975260872914827,
21,44.0,1025.0,254.0,694.0,0.0723491441272358,
22,43.0,1025.0,254.0,694.0,0.1634164698082795,
23,42.0,1026.0,253.0,698.0,0.1027500664413324,
24,44.0,1024.0,255.0,694.0,0.1840486346227314,
25,43.0,1020.0,253.0,698.0,0.1202419014183367,
26,46.0,1023.0,256.0,698.0,0.0799368105060969,
27,42.0,1021.0,252.0,691.0,0.1440103205651079,
28,46.0,1021.0,254.0,698.0,0.125013475153036,
29,44.0,1019.0,255.0,691.0,0.140439155667268,
30,45.0,1019.0,256.0,696.0,0.1181761496701596,
31,44.0,1016.0,254.0,689.0,0.1104772673566926,
32,41.0,1017.0,254.0,694.0,0.0827386423716888,
33,42.0,1018.0,252.0,699.0,0.1247429445222026,
34,42.0,1019.0,254.0,697.0,0.1226402719861235,
35,42.0,1019.0,250.0,699.0,0.1309794705794067,
36,41.0,1017.0,247.0,698.0,0.1192003997361854,
37,42.0,1019.0,251.0,697.0,0.1848541112556628,
38,41.0,1020.0,247.0,690.0,0.1249194612899805,
39,40.0,1019.0,248.0,694.0,0.0636109900677858,
40,39.0,1022.0,245.0,700.0,0.1125881100657139,
41,40.0,1022.0,243.0,697.0,0.1464973472472933,
42,40.0,1025.0,246.0,690.0,0.0954091570504961,
43,38.0,1025.0,245.0,696.0,0.1176631940480866,
44,38.0,1024.0,243.0,698.0,0.0876324194665822,
45,41.0,1025.0,245.0,694.0,0.14325799246864,
46,42.0,1026.0,243.0,693.0,0.0728842290359031,
47,43.0,1029.0,245.0,698.0,0.0799368105060969,
48,41.0,1031.0,246.0,688.0,0.1088899822949898,
49,43.0,1030.0,242.0,688.0,0.1078480508629137,
50,40.0,1032.0,239.0,690.0,0.1495175461106056,
51,41.0,1035.0,240.0,691.0,0.0643578746692501,
52,41.0,1034.0,242.0,696.0,0.1032472735988894,
53,40.0,1035.0,240.0,693.0,0.1049756861287009,
54,41.0,1032.0,243.0,698.0,0.1952689754713516,
55,39.0,1036.0,245.0,697.0,0.0949068189046214,
56,40.0,1034.0,249.0,698.0,0.1382717319076737,
57,40.0,1032.0,247.0,697.0,0.168328239451742,
58,41.0,1031.0,250.0,691.0,0.1669552135792781,
59,41.0,1028.0,249.0,698.0,0.1490975757643926,
60,40.0,1029.0,247.0,698.0,0.1783578358129583,
61,39.0,1026.0,247.0,697.0,0.0836714411459917,
