Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,11.0,848.0,50.0,698.0,0.111989028647766,11.0
1,10.0,851.0,47.0,690.0,0.1718927240693296,
2,11.0,848.0,50.0,697.0,0.1361725320667533,
3,11.0,848.0,47.0,695.0,0.1880700945717121,
4,11.0,851.0,48.0,695.0,0.1511339984545568,
5,11.0,855.0,48.0,693.0,0.1493837398530527,
6,10.0,858.0,45.0,690.0,0.1249194612899805,
7,10.0,854.0,47.0,689.0,0.1372894605732798,
8,10.0,857.0,44.0,698.0,0.1491606801888731,
9,10.0,861.0,45.0,699.0,0.1150137434234555,
10,11.0,862.0,46.0,701.0,0.1044199195340108,
11,12.0,863.0,47.0,695.0,0.0892706380170936,
