Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,3.0,957.0,12.0,680.0,0.30006937280149,3.0
1,5.0,955.0,15.0,688.0,0.115494659522823,
2,5.0,957.0,16.0,698.0,0.1154222970953337,
3,4.0,956.0,16.0,695.0,0.0892706380170936,
4,5.0,956.0,16.0,698.0,0.1363378324805771,
5,7.0,959.0,20.0,693.0,0.0785854890665321,
6,6.0,957.0,19.0,695.0,0.1691114053173407,
7,4.0,956.0,17.0,697.0,0.1241266692658964,
8,4.0,953.0,20.0,698.0,0.1949146124794876,
9,6.0,956.0,24.0,700.0,0.0812849940830993,
10,6.0,957.0,24.0,698.0,0.1949146124794876,
11,6.0,958.0,22.0,698.0,0.1975260872914827,
12,6.0,961.0,24.0,696.0,0.1778743840407116,
