Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,34.0,34.0,181.0,694.0,0.100664355267747,34.0
1,34.0,36.0,183.0,699.0,0.1148347656288476,
2,35.0,34.0,184.0,694.0,0.1490485695735602,
3,33.0,35.0,183.0,698.0,0.1627218508227638,
4,35.0,37.0,184.0,692.0,0.07321670854945,
5,34.0,40.0,182.0,698.0,0.1975260872914827,
6,33.0,42.0,178.0,688.0,0.1398696079573844,
7,32.0,42.0,178.0,697.0,0.0513999223563909,
8,33.0,41.0,176.0,694.0,0.1634164698082791,
9,32.0,38.0,177.0,689.0,0.1269269101211529,
10,31.0,38.0,173.0,691.0,0.0533984864540041,
11,31.0,39.0,177.0,694.0,0.1201035457310669,
12,30.0,40.0,175.0,697.0,0.1153130771739446,
13,33.0,44.0,178.0,692.0,0.0993850281580743,
14,32.0,42.0,179.0,697.0,0.1848541112556628,
15,30.0,39.0,175.0,695.0,0.1351108874753239,
16,30.0,41.0,172.0,695.0,0.1724560994724198,
17,31.0,38.0,171.0,696.0,0.1153322204318243,
18,31.0,34.0,171.0,692.0,0.0870351611903374,
19,28.0,31.0,168.0,696.0,0.1372990561776377,
20,27.0,30.0,169.0,697.0,0.1830251064619507,
21,30.0,28.0,172.0,688.0,0.1071001700396836,
22,27.0,32.0,169.0,701.0,0.0903816553101321,
23,27.0,35.0,166.0,699.0,0.105572911717412,
24,27.0,34.0,165.0,697.0,0.120918972749735,
25,29.0,36.0,167.0,696.0,0.1501008557880654,
26,31.0,33.0,169.0,698.0,0.1433410713615315,
27,28.0,36.0,168.0,693.0,0.0771257831999183,
28,28.0,35.0,166.0,698.0,0.1382717319076737,
29,26.0,35.0,165.0,695.0,0.1910929906747429,
30,27.0,34.0,169.0,699.0,0.1279028240608766,
31,28.0,37.0,172.0,698.0,0.1027500664413324,
32,27.0,39.0,175.0,698.0,0.1119890286477671,
33,29.0,35.0,174.0,700.0,0.0796686453641158,
34,30.0,32.0,178.0,697.0,0.0746379918279048,
35,31.0,36.0,182.0,692.0,0.0803313745909416,
36,31.0,39.0,182.0,696.0,0.1162924616969247,
37,30.0,41.0,180.0,695.0,0.081069357014949,
38,30.0,43.0,178.0,695.0,0.1084001100920648,
39,30.0,42.0,179.0,697.0,0.1522208587490442,
40,29.0,45.0,179.0,698.0,0.1202419014183367,
41,29.0,46.0,178.0,692.0,0.0918767051414354,
42,28.0,45.0,177.0,693.0,0.1564310794914355,
43,25.0,45.0,174.0,694.0,0.1144611351640242,
44,26.0,43.0,171.0,698.0,0.1952689754713516,
45,28.0,46.0,170.0,699.0,0.1011121037094799,
46,29.0,49.0,171.0,697.0,0.0513999223563909,
47,30.0,51.0,175.0,695.0,0.1276826431173332,
48,28.0,50.0,174.0,696.0,0.1581610213046775,
49,29.0,46.0,173.0,694.0,0.1838970020377307,
50,28.0,44.0,170.0,694.0,0.1490485695735602,
51,28.0,43.0,168.0,690.0,0.0821373088659141,
52,27.0,46.0,165.0,697.0,0.1361725320667533,
53,26.0,47.0,164.0,693.0,0.0677614140777714,
54,27.0,49.0,167.0,692.0,0.1830483162362591,
55,25.0,47.0,167.0,698.0,0.1433410713615315,
56,26.0,47.0,164.0,699.0,0.1186265089899583,
57,26.0,48.0,168.0,692.0,0.0959184974083525,
58,26.0,44.0,164.0,694.0,0.1004756751106812,
59,26.0,45.0,161.0,698.0,0.1975260872914827,
60,26.0,45.0,163.0,689.0,0.1596090876583824,
61,25.0,43.0,161.0,699.0,0.1247429445222026,
