Id,Centroid_x,Centroid_y,Area
1,0,0,1.0
2,1308,7,465.0
3,1354,12,660.0
4,1188,21,698.0
5,0,20,10.0
6,852,36,1149.0
7,548,34,696.0
8,783,37,690.0
9,965,39,700.0
10,1003,51,698.0
11,1222,54,1082.0
12,904,66,693.0
13,1087,73,692.0
14,453,86,696.0
15,939,90,689.0
16,341,104,871.0
17,843,115,1306.0
18,677,108,695.0
19,1036,114,698.0
20,741,123,696.0
21,495,127,694.0
22,629,136,1186.0
23,1133,137,692.0
24,415,153,700.0
25,192,161,700.0
26,44,164,694.0
27,1134,169,692.0
28,446,173,699.0
29,831,175,697.0
30,312,178,687.0
31,688,183,690.0
32,343,192,693.0
33,649,200,693.0
34,191,204,695.0
35,1241,208,698.0
36,918,211,701.0
37,1323,211,697.0
38,1271,220,697.0
39,836,229,695.0
40,576,248,1263.0
41,1031,250,691.0
42,1110,256,697.0
43,1171,257,776.0
44,235,257,695.0
45,724,266,1867.0
46,1332,260,826.0
47,641,260,695.0
48,831,260,693.0
49,460,266,695.0
50,19,279,698.0
51,854,282,699.0
52,1100,285,697.0
53,228,295,1220.0
54,1305,295,691.0
55,768,297,697.0
56,290,299,695.0
57,999,310,1339.0
58,1223,317,1212.0
59,23,319,982.0
60,1086,336,693.0
61,270,337,695.0
62,976,357,1231.0
63,11,354,629.0
64,738,355,698.0
65,937,357,698.0
66,1161,362,695.0
67,1318,366,698.0
68,374,377,697.0
69,850,384,692.0
70,44,402,1348.0
71,1133,391,692.0
72,706,417,692.0
73,1061,432,694.0
74,335,434,698.0
75,489,436,698.0
76,759,444,695.0
77,11,446,632.0
78,245,468,2394.0
79,415,454,696.0
80,970,481,2519.0
81,677,457,695.0
82,297,477,688.0
83,1344,503,2390.0
84,142,487,690.0
85,330,488,689.0
86,658,499,701.0
87,1133,500,690.0
88,614,519,696.0
89,705,524,689.0
90,847,546,1332.0
91,1284,536,697.0
92,553,539,696.0
93,977,539,695.0
94,331,573,2904.0
95,357,547,695.0
96,936,565,1761.0
97,802,559,1128.0
98,9,555,573.0
99,695,560,1236.0
100,1077,556,697.0
101,606,559,698.0
102,1347,560,697.0
103,881,566,699.0
104,1308,570,700.0
105,107,573,1068.0
106,196,579,693.0
107,151,598,804.0
108,668,598,699.0
109,721,599,687.0
110,459,610,966.0
111,293,606,697.0
112,755,606,691.0
113,1167,610,692.0
114,384,622,697.0
115,866,622,696.0
116,1216,632,697.0
117,567,635,696.0
118,946,635,697.0
119,89,639,699.0
120,409,654,1936.0
121,1334,644,695.0
122,986,652,699.0
123,359,653,693.0
124,1250,661,693.0
125,746,664,696.0
126,1098,665,697.0
127,670,681,1612.0
128,76,669,696.0
129,8,673,528.0
130,247,686,991.0
131,916,688,695.0
132,1144,694,699.0
133,810,700,689.0
134,414,711,1077.0
135,1370,716,697.0
136,1257,718,694.0
137,494,726,699.0
138,1099,727,698.0
139,948,730,696.0
140,530,743,1355.0
141,1191,738,696.0
142,894,742,697.0
143,565,755,1276.0
144,755,750,697.0
145,210,754,695.0
146,337,760,701.0
147,885,788,1100.0
148,363,789,693.0
149,400,795,701.0
150,846,796,697.0
151,16,805,1072.0
152,713,806,1856.0
153,286,810,997.0
154,647,819,697.0
155,1164,820,687.0
156,827,829,697.0
157,234,855,1321.0
158,148,858,1279.0
159,844,857,693.0
160,674,859,700.0
161,291,862,691.0
162,95,863,688.0
163,1166,886,2070.0
164,796,868,695.0
165,548,875,700.0
166,434,879,689.0
167,993,879,1012.0
168,305,891,688.0
169,119,894,691.0
170,37,898,695.0
171,617,900,694.0
172,823,909,690.0
173,511,915,1010.0
174,723,915,698.0
175,147,919,694.0
176,1185,925,698.0
177,545,928,696.0
178,861,944,1087.0
179,392,945,894.0
180,1346,942,700.0
181,1390,943,525.0
182,46,945,690.0
183,252,947,648.0
184,338,952,424.0
185,456,954,267.0
186,117,954,242.0
187,10,955,188.0
