Id,Centroid_x,Centroid_y,Area
1,950,8,502.0
2,1309,9,575.0
3,1366,11,653.0
4,187,17,690.0
5,1183,21,693.0
6,838,26,696.0
7,518,28,698.0
8,12,31,669.0
9,980,35,698.0
10,870,38,697.0
11,1085,52,698.0
12,783,53,692.0
13,1215,59,1391.0
14,1004,55,697.0
15,893,69,700.0
16,467,88,1387.0
17,342,107,1386.0
18,945,103,698.0
19,691,107,699.0
20,1036,109,690.0
21,832,116,1208.0
22,747,119,691.0
23,637,130,1019.0
24,1131,131,693.0
25,190,158,695.0
26,459,159,699.0
27,418,165,701.0
28,36,168,693.0
29,1139,172,694.0
30,815,175,693.0
31,329,187,1364.0
32,675,180,695.0
33,1248,193,698.0
34,903,196,688.0
35,650,209,692.0
36,1344,215,690.0
37,199,218,694.0
38,850,219,698.0
39,1294,224,697.0
40,546,240,697.0
41,643,240,695.0
42,1021,252,691.0
43,713,261,1294.0
44,755,272,1861.0
45,1340,257,1281.0
46,814,257,701.0
47,1102,258,734.0
48,585,260,691.0
49,1188,267,1045.0
50,15,265,699.0
51,234,284,1829.0
52,860,270,692.0
53,467,271,692.0
54,1010,297,1148.0
55,10,326,1303.0
56,281,319,1385.0
57,1226,322,1251.0
58,1284,320,698.0
59,1088,320,697.0
60,1160,349,696.0
61,1327,349,699.0
62,945,360,1114.0
63,986,355,699.0
64,372,365,691.0
65,726,370,691.0
66,44,391,692.0
67,1146,398,699.0
68,851,407,696.0
69,728,415,1380.0
70,51,429,691.0
71,328,431,697.0
72,254,446,1359.0
73,501,436,697.0
74,1037,446,1252.0
75,222,447,690.0
76,416,447,689.0
77,26,451,694.0
78,308,478,1206.0
79,668,472,699.0
80,1346,502,2285.0
81,164,483,697.0
82,980,491,1196.0
83,1142,501,689.0
84,237,504,697.0
85,682,513,1322.0
86,959,523,1380.0
87,617,516,695.0
88,356,518,700.0
89,1280,533,698.0
90,312,563,2480.0
91,904,549,1863.0
92,546,540,694.0
93,683,556,1116.0
94,1341,550,690.0
95,814,566,1602.0
96,850,554,699.0
97,1082,559,689.0
98,611,562,696.0
99,14,567,700.0
100,151,591,2024.0
101,92,582,701.0
102,937,582,697.0
103,210,588,701.0
104,364,633,2655.0
105,462,601,691.0
106,1313,604,695.0
107,745,606,1082.0
108,285,620,693.0
109,1160,621,696.0
110,660,621,687.0
111,1331,629,690.0
112,65,633,696.0
113,458,637,1394.0
114,995,636,688.0
115,847,638,696.0
116,949,643,690.0
117,1205,643,692.0
118,561,647,690.0
119,411,652,697.0
120,736,657,700.0
121,1246,659,695.0
122,657,661,690.0
123,1098,666,689.0
124,65,670,696.0
125,266,670,697.0
126,230,674,698.0
127,675,689,1645.0
128,12,686,665.0
129,788,691,699.0
130,926,691,693.0
131,1140,703,691.0
132,419,710,1027.0
133,1274,710,692.0
134,1104,715,688.0
135,963,721,697.0
136,494,729,694.0
137,539,731,692.0
138,1370,731,687.0
139,585,740,695.0
140,908,753,688.0
141,344,758,695.0
142,527,763,694.0
143,213,766,699.0
144,1186,767,690.0
145,749,776,692.0
146,393,780,697.0
147,16,786,699.0
148,895,791,1391.0
149,566,791,698.0
150,711,807,1730.0
151,843,802,698.0
152,373,804,690.0
153,16,817,691.0
154,276,821,695.0
155,1171,829,981.0
156,819,827,697.0
157,641,832,688.0
158,305,836,690.0
159,224,846,965.0
160,821,861,1359.0
161,126,858,694.0
162,167,867,696.0
163,301,880,1236.0
164,985,873,700.0
165,694,880,693.0
166,113,892,1304.0
167,42,886,691.0
168,422,886,692.0
169,1156,897,1231.0
170,630,892,698.0
171,518,897,2026.0
172,809,895,695.0
173,1010,906,697.0
174,715,907,700.0
175,150,921,698.0
176,1202,924,691.0
177,540,929,693.0
178,882,932,694.0
179,380,935,1138.0
180,73,938,696.0
181,1392,938,369.0
182,265,944,699.0
183,1346,949,575.0
184,467,949,552.0
185,333,951,475.0
186,838,951,465.0
187,23,952,412.0
188,133,954,244.0
189,214,958,22.0
