Id,Centroid_x,Centroid_y,Area
1,952,0,4.0
2,1313,9,575.0
3,1357,12,662.0
4,1,12,105.0
5,1186,18,689.0
6,846,24,691.0
7,546,37,694.0
8,781,37,698.0
9,968,39,697.0
10,867,49,691.0
11,1005,55,697.0
12,1222,57,1048.0
13,900,65,689.0
14,1089,69,698.0
15,460,84,696.0
16,944,84,699.0
17,846,111,1363.0
18,337,101,975.0
19,678,105,696.0
20,1036,117,696.0
21,745,120,696.0
22,495,121,695.0
23,630,135,1115.0
24,1132,134,690.0
25,415,152,694.0
26,192,154,693.0
27,49,167,692.0
28,451,168,697.0
29,1143,171,699.0
30,827,174,698.0
31,327,183,1336.0
32,685,179,688.0
33,188,201,693.0
34,651,203,697.0
35,915,203,691.0
36,1318,206,697.0
37,1240,210,691.0
38,1275,217,695.0
39,831,246,1338.0
40,576,247,1293.0
41,1032,243,698.0
42,733,273,2850.0
43,1171,253,842.0
44,233,254,697.0
45,639,256,697.0
46,1102,267,1285.0
47,1324,273,1839.0
48,470,270,697.0
49,855,277,687.0
50,23,279,697.0
51,235,297,1068.0
52,999,304,1388.0
53,294,304,690.0
54,1226,319,1121.0
55,16,317,722.0
56,1088,331,695.0
57,275,337,698.0
58,972,353,1336.0
59,8,352,508.0
60,933,353,698.0
61,735,362,689.0
62,1168,363,700.0
63,1321,364,698.0
64,363,376,689.0
65,1139,389,698.0
66,42,401,1346.0
67,843,396,696.0
68,707,417,693.0
69,1057,431,698.0
70,335,435,694.0
71,488,435,698.0
72,758,437,693.0
73,209,443,696.0
74,8,449,523.0
75,250,458,1193.0
76,419,452,697.0
77,676,459,695.0
78,970,484,2399.0
79,1352,479,694.0
80,312,485,1391.0
81,141,489,696.0
82,668,496,695.0
83,251,498,698.0
84,1136,501,698.0
85,1342,512,1700.0
86,615,518,691.0
87,702,527,698.0
88,547,531,698.0
89,844,549,1287.0
90,977,545,693.0
91,936,564,1812.0
92,331,573,3070.0
93,351,548,696.0
94,1287,548,695.0
95,802,558,1215.0
96,1079,551,695.0
97,691,562,1278.0
98,607,561,699.0
99,13,563,685.0
100,888,564,698.0
101,1351,564,692.0
102,110,575,1218.0
103,198,580,698.0
104,1306,585,699.0
105,147,600,987.0
106,744,599,1367.0
107,670,598,688.0
108,461,609,905.0
109,290,608,695.0
110,1166,612,692.0
111,868,622,692.0
112,378,627,696.0
113,82,646,1391.0
114,571,634,695.0
115,944,634,690.0
116,1208,633,690.0
117,1330,638,689.0
118,406,655,1932.0
119,986,647,696.0
120,359,652,696.0
121,1249,658,689.0
122,1102,666,695.0
123,673,678,1641.0
124,743,667,699.0
125,9,677,571.0
126,247,684,1117.0
127,925,690,696.0
128,1149,695,690.0
129,806,705,696.0
130,413,710,1217.0
131,1372,711,691.0
132,957,720,693.0
133,1251,724,695.0
134,488,728,693.0
135,547,751,2426.0
136,1102,734,694.0
137,1191,742,696.0
138,206,745,700.0
139,761,745,696.0
140,899,746,697.0
141,348,776,1376.0
142,888,787,1324.0
143,402,791,697.0
144,845,794,696.0
145,18,802,1185.0
146,708,806,2023.0
147,283,818,1165.0
148,1167,816,692.0
149,650,820,691.0
150,826,825,697.0
151,233,857,1038.0
152,148,856,1092.0
153,298,877,1395.0
154,799,863,690.0
155,1169,885,1998.0
156,846,866,695.0
157,671,868,698.0
158,988,880,1277.0
159,97,877,695.0
160,547,879,698.0
161,433,882,691.0
162,137,901,1392.0
163,622,896,693.0
164,41,900,698.0
165,509,913,1244.0
166,826,908,698.0
167,726,914,697.0
168,1189,922,697.0
169,548,925,694.0
170,48,935,691.0
171,873,937,696.0
172,396,942,962.0
173,1393,940,348.0
174,258,945,684.0
175,1345,946,675.0
176,116,950,522.0
177,339,952,365.0
178,848,953,347.0
179,13,954,259.0
180,457,957,57.0
