Id,Centroid_x,Centroid_y,Area,Eccentricity
1,10,19,713.0,0.7441487944892468
2,1303,11,629.0,0.5083658389303246
3,1379,17,698.0,0.11338664638659401
4,848,18,699.0,0.12981254556135638
5,181,24,697.0,0.11027392952153907
6,981,40,2068.0,0.9514535105107782
7,1188,26,694.0,0.07568258885343002
8,509,39,698.0,0.1783578358129583
9,1084,43,700.0,0.08265916365433522
10,782,45,692.0,0.08033137459094163
11,867,46,697.0,0.13706392774670273
12,905,69,695.0,0.12365153196825046
13,455,71,695.0,0.08257143407619325
14,1240,71,696.0,0.15010085578806542
15,1189,72,697.0,0.12564546735737156
16,353,92,691.0,0.1101826704657694
17,836,113,1314.0,0.8482929630252259
18,684,106,692.0,0.08248253305670335
19,945,107,697.0,0.15676575828953418
20,470,109,695.0,0.10114339698902386
21,636,123,1303.0,0.8410155878357394
22,1030,116,693.0,0.16342047597513318
23,327,120,699.0,0.07840190445645684
24,751,130,697.0,0.1578802056858703
25,1139,134,697.0,0.15297879867490882
26,193,157,693.0,0.09336994740419134
27,433,169,1388.0,0.8914957633662519
28,1149,167,694.0,0.08152474350200462
29,339,179,1321.0,0.8520444138020004
30,39,175,695.0,0.13511088747532396
31,832,176,700.0,0.13378214807477345
32,685,179,697.0,0.10503601914372689
33,1243,187,694.0,0.1339969802140112
34,922,188,697.0,0.09490681890462149
35,1341,212,699.0,0.08618277169777995
36,191,215,692.0,0.13996127744428843
37,653,215,698.0,0.20187432492679314
38,1298,227,696.0,0.15492502978440278
39,851,234,699.0,0.0676499035308167
40,541,240,695.0,0.15218006209300977
41,659,245,687.0,0.12950362443894428
42,751,255,1212.0,0.8012857052233694
43,1341,255,1080.0,0.7172321391960477
44,1023,254,690.0,0.06802145125302435
45,1103,256,1254.0,0.8186708209442546
46,477,257,695.0,0.10224850255039161
47,806,257,699.0,0.15258420955951632
48,1182,260,1205.0,0.7918407678099104
49,241,267,1075.0,0.7141750645499374
50,578,263,698.0,0.20187432492679314
51,13,264,691.0,0.060184516252795354
52,863,264,694.0,0.10047567511068124
53,722,279,1851.0,0.9112806961974552
54,275,298,697.0,0.12091897274973501
55,228,305,696.0,0.12272789873552545
56,13,325,1352.0,0.916237142653769
57,1011,312,1228.0,0.8076875578959622
58,1081,319,691.0,0.07984245091276035
59,1280,324,698.0,0.1026857992913011
60,1231,335,1297.0,0.8424337898810177
61,283,336,693.0,0.17458313443663076
62,1328,346,691.0,0.11838245369688828
63,1164,351,698.0,0.16221385828617793
64,980,352,693.0,0.16063181656161016
65,946,366,1361.0,0.8684761464463631
66,729,356,698.0,0.1133866463865945
67,384,363,694.0,0.09282054590894623
68,53,378,696.0,0.18609890765126186
69,1158,395,698.0,0.07993681050609693
70,858,404,698.0,0.08755088215585972
71,723,415,1081.0,0.7153183562707838
72,248,427,691.0,0.15271542680571043
73,32,437,1275.0,0.8291316119797719
74,211,432,692.0,0.18172418892230838
75,528,435,698.0,0.08717470718819653
76,320,437,688.0,0.08157227887349718
77,411,449,694.0,0.09071543077077691
78,1040,453,1202.0,0.7878894635188938
79,254,460,691.0,0.13615554655468493
80,310,477,859.0,0.5047222338047758
81,676,478,695.0,0.15113399845455688
82,1340,499,1971.0,0.9199419442678638
83,1140,483,697.0,0.15297879867490882
84,162,487,701.0,0.08139226493117241
85,982,505,2051.0,0.24023099340186946
86,219,497,698.0,0.08576291109986883
87,680,542,2435.0,0.9364918408933074
88,620,514,693.0,0.1161221268764336
89,936,520,698.0,0.13245468169888375
90,897,541,1924.0,0.6880574965351988
91,370,532,698.0,0.166078211019024
92,315,557,2125.0,0.90551342052388
93,536,542,694.0,0.11446113516402429
94,602,551,697.0,0.05139992235639098
95,829,563,2231.0,0.8376534864864142
96,1280,552,699.0,0.12408900953305695
97,12,564,679.0,0.2526650409579528
98,128,565,693.0,0.06101012473413451
99,1075,567,700.0,0.11573893548722697
100,1352,567,693.0,0.05462061968607188
101,81,582,699.0,0.1402886798304096
102,940,590,700.0,0.1596582288965584
103,143,592,697.0,0.1806713796371472
104,220,592,695.0,0.15113399845455688
105,470,596,695.0,0.1521800620930094
106,355,628,1941.0,0.9368723705549042
107,740,608,1084.0,0.7145298764772567
108,1301,607,690.0,0.154875147510608
109,164,617,696.0,0.17787438404071163
110,293,617,696.0,0.202984094055469
111,651,622,697.0,0.1848541112556628
112,1167,625,696.0,0.18633956127719156
113,993,629,693.0,0.1258733838109062
114,56,631,691.0,0.10916505647415532
115,450,644,1250.0,0.8136571053385767
116,1336,639,693.0,0.13104417038009
117,843,639,695.0,0.19405360090064244
118,1208,646,698.0,0.08717470718819653
119,949,648,697.0,0.11393106819603231
120,675,672,1926.0,0.9229550276511203
121,400,658,1392.0,0.8953615874899127
122,555,658,687.0,0.14384340832193407
123,753,660,696.0,0.11629246169692475
124,1251,663,693.0,0.16342047597513318
125,1099,664,692.0,0.09693582383555352
126,75,670,698.0,0.19752608729148277
127,231,677,689.0,0.07354538167371964
128,29,681,700.0,0.08128499408309939
