Id,Centroid_x,Centroid_y,Area
1,185,12,673.0
2,948,10,614.0
3,1307,8,499.0
4,1366,12,669.0
5,1186,24,691.0
6,12,33,666.0
7,831,33,699.0
8,525,35,693.0
9,971,36,701.0
10,884,51,1077.0
11,1214,59,1311.0
12,1013,52,696.0
13,785,55,688.0
14,1087,62,697.0
15,452,75,697.0
16,935,95,696.0
17,1042,97,691.0
18,477,103,696.0
19,342,110,1075.0
20,687,107,699.0
21,835,110,861.0
22,635,128,1122.0
23,756,123,697.0
24,1122,136,690.0
25,196,154,695.0
26,460,157,699.0
27,417,164,696.0
28,823,171,691.0
29,1141,174,688.0
30,32,178,697.0
31,327,185,1179.0
32,689,190,698.0
33,911,192,694.0
34,651,202,699.0
35,1246,205,697.0
36,1340,214,695.0
37,193,216,695.0
38,839,223,696.0
39,1287,234,693.0
40,565,251,1386.0
41,645,246,698.0
42,1019,254,697.0
43,1344,257,1258.0
44,738,271,2734.0
45,815,258,697.0
46,1100,264,1110.0
47,1185,267,1052.0
48,235,273,1149.0
49,8,268,487.0
50,474,274,697.0
51,864,275,698.0
52,1002,301,1267.0
53,12,322,1258.0
54,283,323,1387.0
55,227,312,700.0
56,1227,320,1193.0
57,1293,319,698.0
58,1091,325,696.0
59,1159,341,697.0
60,944,359,1106.0
61,989,354,697.0
62,1331,354,691.0
63,361,360,695.0
64,733,360,694.0
65,45,385,696.0
66,1144,396,700.0
67,852,407,700.0
68,709,415,697.0
69,37,437,1389.0
70,745,426,697.0
71,498,429,700.0
72,256,444,1178.0
73,321,443,699.0
74,205,445,693.0
75,1050,447,695.0
76,424,455,698.0
77,1020,457,700.0
78,663,471,695.0
79,1333,478,696.0
80,166,479,697.0
81,310,483,1388.0
82,980,486,1077.0
83,1138,497,691.0
84,248,500,693.0
85,677,511,1366.0
86,1347,523,2265.0
87,946,509,690.0
88,610,522,695.0
89,1279,525,699.0
90,926,555,2032.0
91,365,535,701.0
92,540,538,695.0
93,311,566,2433.0
94,967,539,698.0
95,825,560,2152.0
96,685,559,1122.0
97,1076,559,694.0
98,613,565,691.0
99,12,570,661.0
100,895,573,698.0
101,133,589,2692.0
102,209,593,698.0
103,363,605,1285.0
104,465,596,692.0
105,1306,597,693.0
106,747,605,1252.0
107,662,612,696.0
108,288,618,691.0
109,1164,621,699.0
110,857,630,696.0
111,71,631,695.0
112,954,633,700.0
113,453,635,1273.0
114,1203,635,698.0
115,1329,637,699.0
116,992,638,688.0
117,385,652,1916.0
118,564,649,697.0
119,1249,656,696.0
120,737,658,700.0
121,666,677,2469.0
122,66,670,692.0
123,245,675,1358.0
124,1089,674,694.0
125,14,689,692.0
126,920,691,696.0
127,1141,696,698.0
128,787,696,688.0
129,431,708,1259.0
130,1273,711,695.0
131,1369,718,696.0
132,957,722,698.0
133,540,728,697.0
134,1107,728,692.0
135,488,729,698.0
136,581,744,694.0
137,906,749,693.0
138,1183,755,697.0
139,524,756,695.0
140,341,757,693.0
141,216,765,697.0
142,746,773,692.0
143,394,779,694.0
144,18,788,695.0
145,569,790,699.0
146,895,794,1349.0
147,707,808,1543.0
148,370,800,696.0
149,838,800,689.0
150,285,826,1369.0
151,22,820,696.0
152,639,824,697.0
153,1179,830,1094.0
154,816,829,697.0
155,231,855,953.0
156,148,858,1396.0
157,816,876,2030.0
158,988,872,694.0
159,293,881,1124.0
160,684,877,698.0
161,426,878,698.0
162,519,897,2073.0
163,105,889,1346.0
164,627,892,696.0
165,42,895,698.0
166,1158,896,841.0
167,1010,903,701.0
168,722,908,688.0
169,155,911,697.0
170,1195,920,697.0
171,872,928,695.0
172,381,939,1191.0
173,546,932,697.0
174,64,934,693.0
175,1349,946,670.0
176,270,946,662.0
177,1394,947,235.0
178,334,948,604.0
179,18,951,478.0
180,840,951,431.0
181,461,953,351.0
182,118,953,329.0
