Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
1,11,16,849,0.790812322414399,1
2,856,13,693,0.199949444164278,2
3,957,12,680,0.30006937280149,3
4,1176,13,693,0.199020498831705,4
5,1300,11,648,0.452048557343052,5
6,1382,14,693,0.0610101247341345,6
7,176,21,691,0.0938512411905109,7
8,995,42,1147,0.764610954722571,8
9,512,46,695,0.0810693570149491,9
10,767,49,692,0.160929950798361,10
11,848,50,698,0.111989028647766,11
12,1092,51,695,0.101143396989023,12
13,1237,65,698,0.142658574659655,13
14,437,70,697,0.0969222959937868,14
15,1180,70,690,0.126717879422678,15
16,916,74,695,0.165287731813491,16
17,687,91,697,0.051399922356391,17
18,365,94,692,0.115844503563109,18
19,833,96,1263,0.822539445599736,19
20,467,102,688,0.149361088647119,20
21,620,105,693,0.168053602693853,21
22,948,108,701,0.0813922649311724,22
23,330,110,691,0.10056396952009,23
24,1029,112,695,0.163107737008163,24
25,647,125,698,0.155398182365521,25
26,756,133,694,0.0723491441272359,26
27,1143,140,698,0.141522584462662,27
28,421,160,1345,0.865132233471173,28
29,208,159,694,0.16341646980828,29
30,347,173,1260,0.823551954879126,30
31,695,168,690,0.108604458986013,31
32,1160,173,698,0.128167137408852,32
33,830,176,698,0.197526087291483,33
34,34,181,694,0.100664355267747,34
35,920,185,696,0.174711752039109,35
36,1239,189,695,0.19040072366619,36
37,189,208,690,0.118719335589136,37
38,1337,234,2259,0.62789307597377,38
39,655,221,691,0.0956641701809855,39
40,731,230,695,0.165287731813491,40
41,858,240,1382,0.886974398457364,41
42,528,238,698,0.114915640374581,42
43,1022,249,700,0.0478627043569959,43
44,13,250,677,0.232224331343194,44
45,1110,256,1253,0.819173156357074,45
46,1184,259,1238,0.807084360028524,46
47,658,260,697,0.181541705082857,47
48,801,262,699,0.0784019044564568,48
49,247,271,1372,0.875120844539868,49
50,483,264,696,0.186098907651261,50
51,737,277,2253,0.818228925549283,51
52,564,269,695,0.129925538341788,52
53,13,299,814,0.489227817700979,53
54,1007,303,1271,0.828649845318605,54
55,269,308,694,0.0907154307707769,55
56,1286,312,697,0.130346812051785,56
57,219,313,694,0.120103545731067,57
58,1085,323,694,0.154801587069805,58
59,1219,328,1367,0.874278810230836,59
60,975,335,698,0.136233563895332,60
61,12,338,663,0.329022468240165,61
62,1331,344,695,0.147987976834246,62
63,282,348,697,0.051399922356391,63
64,391,354,697,0.188645162419814,64
65,1161,354,695,0.17245609947242,65
66,732,355,699,0.112974132033731,66
67,944,371,1390,0.900461968308164,67
68,46,377,697,0.115094298079417,68
69,1168,401,698,0.0875508821558597,69
70,844,403,698,0.130988718548106,70
71,725,412,1137,0.753138143356328,71
72,239,422,696,0.186098907651261,72
73,210,428,692,0.149133015754461,73
74,311,430,687,0.143843408321934,74
75,1038,442,1379,0.884887358101457,75
76,27,436,1354,0.883394764759681,76
77,529,437,694,0.142947281488688,77
78,399,450,696,0.195993436347159,78
79,249,460,701,0.0991056664336401,79
80,1320,469,698,0.102750066441332,80
81,669,486,1392,0.895482629702171,81
82,307,485,1261,0.820410557792792,82
83,154,489,698,0.0883041135907805,83
84,965,490,697,0.185669948524963,84
85,1149,490,697,0.11979409553945,85
86,214,498,687,0.112965404360892,86
87,622,499,698,0.197526087291483,87
88,1004,508,697,0.0986290714087937,88
89,1337,517,1553,0.683548353981283,89
90,365,517,695,0.16676763641048,90
91,896,532,1139,0.754894316352044,91
92,973,529,698,0.138271731907674,92
93,681,551,1716,0.91807411207029,93
94,929,533,692,0.133784196551538,94
95,322,534,691,0.0643578746692527,95
96,537,534,696,0.109023048099005,96
97,858,544,693,0.0869758426809076,97
98,1284,548,698,0.194914612479487,98
99,616,554,694,0.07568258885343,99
100,309,567,1776,0.838882149214149,100
101,1365,562,700,0.106665700768903,101
102,819,571,1132,0.730044821578301,102
103,1074,569,698,0.197526087291483,103
104,885,570,697,0.151884779382556,104
105,129,576,1077,0.71120954352527,105
106,8,573,503,0.72732752172785,106
107,482,574,688,0.12260184655759,107
108,89,586,688,0.0927977019869376,108
109,227,594,697,0.0836714411459918,109
110,356,601,693,0.0728842290359032,110
111,727,610,1287,0.833547688205569,111
112,944,603,694,0.147811621829947,112
113,1005,617,699,0.124742944522203,113
114,50,622,697,0.135178501538943,114
115,1170,622,695,0.120634102070656,115
116,311,623,699,0.124742944522203,116
117,1320,628,1298,0.842573106487373,117
118,166,626,698,0.136233563895332,118
119,397,643,3376,0.914438374205948,119
120,662,661,2635,0.960983490974921,120
