Id,Centroid_x,Centroid_y,Area
1,0,1,6.0
2,1308,5,320.0
3,1354,12,671.0
4,1187,23,688.0
5,1,22,86.0
6,851,37,1078.0
7,548,34,702.0
8,784,39,695.0
9,966,40,701.0
10,1006,46,699.0
11,1221,57,1007.0
12,909,65,688.0
13,1081,72,696.0
14,458,85,688.0
15,942,89,697.0
16,344,101,1016.0
17,678,104,698.0
18,847,115,1226.0
19,1038,115,694.0
20,742,124,698.0
21,628,137,1299.0
22,502,130,697.0
23,1127,139,696.0
24,416,153,692.0
25,193,163,691.0
26,45,163,689.0
27,834,169,699.0
28,446,170,695.0
29,1136,171,691.0
30,315,177,689.0
31,687,189,699.0
32,342,198,690.0
33,646,199,693.0
34,189,204,699.0
35,1260,216,1391.0
36,918,213,696.0
37,1323,217,697.0
38,834,231,694.0
39,574,253,1180.0
40,1029,247,698.0
41,1173,255,839.0
42,724,269,1912.0
43,236,256,689.0
44,1105,270,1356.0
45,1328,261,881.0
46,636,259,690.0
47,460,264,699.0
48,845,274,1341.0
49,24,275,698.0
50,226,292,1207.0
51,770,297,698.0
52,291,298,697.0
53,1309,297,697.0
54,998,306,1132.0
55,25,319,1143.0
56,1223,317,1091.0
57,1079,332,690.0
58,269,336,698.0
59,979,359,1033.0
60,11,355,640.0
61,942,357,695.0
62,1166,358,690.0
63,742,362,698.0
64,1321,362,697.0
65,376,383,695.0
66,854,386,697.0
67,1137,387,691.0
68,43,401,1376.0
69,700,417,697.0
70,1059,430,700.0
71,337,431,686.0
72,493,436,700.0
73,15,448,698.0
74,247,470,2378.0
75,752,449,699.0
76,411,454,698.0
77,679,457,699.0
78,979,473,1649.0
79,290,475,698.0
80,1344,501,2300.0
81,333,491,689.0
82,145,493,695.0
83,1135,497,698.0
84,655,499,689.0
85,950,508,699.0
86,614,519,696.0
87,706,528,695.0
88,850,532,695.0
89,1285,532,700.0
90,550,536,700.0
91,933,563,1778.0
92,973,545,700.0
93,331,575,2775.0
94,805,558,1187.0
95,358,552,701.0
96,1076,555,693.0
97,695,563,1204.0
98,10,558,586.0
99,1347,558,693.0
100,606,559,697.0
101,843,564,692.0
102,874,567,698.0
103,1309,569,694.0
104,111,574,1139.0
105,194,582,697.0
106,146,597,1026.0
107,667,596,695.0
108,724,599,695.0
109,461,610,1066.0
110,755,605,691.0
111,292,608,699.0
112,1162,609,694.0
113,382,622,696.0
114,871,626,688.0
115,1219,631,697.0
116,944,632,697.0
117,560,633,696.0
118,88,635,700.0
119,421,651,1272.0
120,1338,646,698.0
121,360,654,698.0
122,391,658,698.0
123,988,658,690.0
124,669,678,1756.0
125,1252,662,695.0
126,745,663,695.0
127,81,668,689.0
128,1099,668,698.0
129,6,675,387.0
130,913,682,691.0
131,244,689,1077.0
132,1146,695,692.0
133,413,712,1291.0
134,814,707,690.0
135,1371,717,693.0
136,1261,720,694.0
137,500,723,693.0
138,1097,727,694.0
139,946,730,691.0
140,530,742,1213.0
141,1195,743,692.0
142,893,745,698.0
143,565,757,1193.0
144,762,752,698.0
145,210,757,698.0
146,330,758,688.0
147,886,788,1226.0
148,359,788,693.0
149,846,793,701.0
150,401,797,697.0
151,15,805,981.0
152,707,805,1757.0
153,285,809,994.0
154,648,818,700.0
155,1157,820,690.0
156,831,830,697.0
157,149,854,1370.0
158,234,855,1014.0
159,672,857,696.0
160,852,859,698.0
161,302,873,1392.0
162,1171,860,698.0
163,96,864,698.0
164,797,869,699.0
165,545,874,701.0
166,995,881,1066.0
167,434,878,689.0
168,121,891,699.0
169,1170,906,2072.0
170,617,898,691.0
171,42,901,698.0
172,508,912,1074.0
173,724,912,688.0
174,826,914,691.0
175,145,919,700.0
176,547,927,695.0
177,861,941,1162.0
178,396,943,897.0
179,1343,940,697.0
180,47,941,699.0
181,1390,945,474.0
182,247,948,607.0
183,463,951,445.0
184,338,953,336.0
185,121,955,206.0
186,14,957,96.0
