Id,Centroid_x,Centroid_y,Area,Eccentricity
1,8,27,560.0,0.7946566596350114
2,966,25,1369.0,0.880999190040576
3,1305,10,623.0,0.5331210443671991
4,1369,15,695.0,0.1904007236661905
5,187,17,697.0,0.12941010583628737
6,846,24,692.0,0.11285044346382393
7,514,27,698.0,0.19752608729148277
8,1183,27,699.0,0.10557291171741201
9,875,37,689.0,0.1560026453042524
10,781,46,695.0,0.1897307083153895
11,1078,50,689.0,0.1269269101211529
12,1000,55,700.0,0.17054475430825772
13,1232,59,697.0,0.07110635685291221
14,903,72,690.0,0.12260461163815912
15,1191,71,689.0,0.14891646805524197
16,464,87,1392.0,0.8893894092185828
17,339,107,1386.0,0.8838216616389712
18,946,106,696.0,0.1543193430486107
19,687,109,693.0,0.12276832153527971
20,1033,111,692.0,0.11704397450204804
21,833,119,1259.0,0.8268245041102725
22,637,123,877.0,0.5309413959496484
23,1135,125,697.0,0.13081992995864342
24,748,129,698.0,0.11198902864776718
25,183,154,695.0,0.1667676364104796
26,448,161,693.0,0.14938373985305348
27,35,166,699.0,0.10557291171741201
28,412,167,696.0,0.07338528738624724
29,822,173,698.0,0.12024190141833675
30,1143,175,699.0,0.12796111548245792
31,335,184,1330.0,0.8575973398920597
32,674,182,694.0,0.09598959116874886
33,1249,185,691.0,0.06999196511592295
34,911,196,687.0,0.11925353130559709
35,655,212,696.0,0.04091265287884663
36,1344,219,696.0,0.14322978328893657
37,851,226,691.0,0.09550988326791691
38,195,227,698.0,0.19752608729148277
39,1291,227,692.0,0.13040909060531714
40,545,240,697.0,0.16448505568410615
41,651,246,698.0,0.13198724967025696
42,1026,253,698.0,0.10275006644133246
43,1346,258,1128.0,0.7441285185132872
44,712,266,1269.0,0.8291150248825863
45,1099,260,1046.0,0.6952490142777392
46,582,258,696.0,0.17484464392204954
47,757,259,1292.0,0.8402694280718658
48,811,258,700.0,0.14413816353837713
49,1188,262,1030.0,0.6902841232786153
50,863,266,690.0,0.055403372508836486
51,239,287,1715.0,0.9124093524872884
52,14,270,697.0,0.17458513979111026
53,469,276,698.0,0.19752608729148277
54,1012,302,1124.0,0.7439836104930347
55,278,298,698.0,0.14762722418115157
56,745,298,698.0,0.1133866463865945
57,12,322,1360.0,0.8372018608834148
58,1086,317,698.0,0.1553981823655208
59,1280,326,696.0,0.14322978328893657
60,1226,332,1302.0,0.8427136717929834
61,279,335,690.0,0.055403372508836486
62,1161,351,698.0,0.13827173190767453
