Id,Centroid_x,Centroid_y,Area,Eccentricity
1,0,0,1.0,0
2,1308,6,424.0,0.8081947132598615
3,1353,15,694.0,0.14294728148868724
4,1186,19,691.0,0.09119104256128384
5,1,19,79.0,0.9656155733977603
6,853,36,1197.0,0.7893850993939346
7,545,34,695.0,0.08927063801709367
8,782,36,693.0,0.14938373985305348
9,964,37,699.0,0.13097947057940676
10,1007,49,700.0,0.11335869097448639
11,1221,57,936.0,0.6038162959854982
12,908,66,698.0,0.10275006644133246
13,1084,71,700.0,0.08128499408309939
14,941,87,698.0,0.15688973839162904
15,456,89,692.0,0.08139246961216232
16,341,102,1026.0,0.6830606644715338
17,676,105,696.0,0.11629246169692475
18,845,114,1293.0,0.839064494815275
19,1039,116,699.0,0.15784650704307704
20,742,124,698.0,0.13198724967025696
21,499,127,699.0,0.15756720333627458
22,630,136,1250.0,0.8140377950693553
23,1130,136,687.0,0.12950362443894428
24,413,156,694.0,0.18879091549645546
25,195,160,699.0,0.12474294452220264
26,45,161,698.0,0.19752608729148277
27,1138,170,695.0,0.07511882871958055
28,834,173,698.0,0.19752608729148277
29,448,174,692.0,0.13073113854741336
30,313,175,699.0,0.10557291171741201
31,690,187,695.0,0.12992553834178835
32,340,195,696.0,0.15010085578806542
33,646,197,691.0,0.12084195573089901
34,192,204,695.0,0.13793379023312996
35,1244,209,689.0,0.08565080106008188
36,1324,213,696.0,0.10574506879593976
37,922,214,697.0,0.19129420696990862
38,1274,221,698.0,0.0947546100475243
39,835,227,694.0,0.14294728148868802
40,577,249,1143.0,0.7577242963387657
41,1028,249,698.0,0.14909757576439261
42,1170,254,783.0,0.3867534272958482
43,238,254,699.0,0.12474294452220264
44,1112,254,694.0,0.14294728148868724
45,723,269,1872.0,0.7069874419415947
46,639,260,697.0,0.12026722547240147
47,1331,261,862.0,0.5125797602201009
48,844,273,1377.0,0.8862143592914962
49,456,266,692.0,0.14605881841240498
50,22,277,695.0,0.08927063801709367
51,1102,285,699.0,0.06286540671238552
52,225,293,1274.0,0.8238680349998393
53,769,295,696.0,0.06116170311370745
54,1309,297,691.0,0.0643578746692527
55,293,300,697.0,0.15297879867490882
56,998,309,1245.0,0.8128365808443678
57,1224,318,1148.0,0.7592586719685042
58,22,320,1017.0,0.6633043501749712
59,1082,334,694.0,0.09653152084300963
60,271,338,697.0,0.13633711961290282
61,978,359,1180.0,0.7749031484033237
62,9,353,560.0,0.6561831364468425
63,940,354,697.0,0.20881870019349943
64,739,358,693.0,0.09336994740419134
65,1163,361,695.0,0.09228295357859262
66,1319,365,698.0,0.13198724967025696
67,376,379,699.0,0.13284348850107192
68,850,384,698.0,0.11469748615511328
69,43,399,1327.0,0.8560654047603781
70,1136,390,693.0,0.08477399873422758
71,703,420,696.0,0.16987417977690483
72,1060,431,698.0,0.12501347515303607
73,337,433,698.0,0.1261656461390724
74,491,439,698.0,0.1719874114409748
75,12,446,672.0,0.3083357597828238
76,756,446,695.0,0.10114339698902332
77,245,469,2414.0,0.9044476068662693
78,412,453,695.0,0.1673483764092302
79,971,482,2426.0,0.9392082701957022
80,677,459,697.0,0.11509429807941678
81,293,475,699.0,0.07980275240726264
82,1343,502,2422.0,0.763094863909333
83,145,489,692.0,0.11285044346382393
84,332,490,694.0,0.10066435526774707
85,656,495,687.0,0.13182728967382493
86,1135,499,699.0,0.07662896448594328
87,615,518,698.0,0.10197224857084254
88,709,527,696.0,0.1675072117022983
89,1287,533,700.0,0.10701298802336717
90,846,547,1360.0,0.8716510384501436
91,552,538,691.0,0.13615554655468493
92,974,543,696.0,0.13190877905440349
93,802,558,1298.0,0.8401285350257919
94,935,565,1692.0,0.9037008881301226
95,331,575,2741.0,0.8465510869056684
96,356,550,699.0,0.12474294452220264
97,693,560,1236.0,0.8095511837359443
98,9,556,572.0,0.6151854384054949
99,1077,556,690.0,0.0967926873411681
100,606,561,697.0,0.1361725320667533
101,1349,562,700.0,0.11573893548722888
102,877,565,694.0,0.14294728148868802
103,108,574,1068.0,0.711720426675944
104,1309,573,695.0,0.08927063801709367
105,194,581,692.0,0.09802436740436427
106,149,598,869.0,0.5105217766345469
107,722,598,691.0,0.09550988326791691
108,666,600,697.0,0.13633711961290282
109,462,609,1014.0,0.6696997573257775
110,293,605,695.0,0.10224850255039161
111,758,607,697.0,0.1914994004871111
112,1165,608,687.0,0.1251093415091301
113,380,620,696.0,0.15816102130467755
114,868,625,697.0,0.15188477938255643
115,564,632,694.0,0.10066435526774707
116,943,633,695.0,0.1299255383417879
