Id,Centroid_x,Centroid_y,Area,Eccentricity
1,11,15,689.0,0.5445461416642146
2,849,13,689.0,0.25046992018361647
3,1299,7,470.0,0.7533448001091262
4,176,21,693.0,0.1258733838109062
5,1377,21,691.0,0.12547261886659955
6,956,24,700.0,0.08128499408309939
7,1177,24,697.0,0.15961348890203045
8,990,47,1143.0,0.7609960755908137
9,781,45,691.0,0.09550988326791691
10,861,45,699.0,0.11501374342345551
11,504,46,690.0,0.13131608581666826
12,1087,46,700.0,0.12944915755137812
13,452,68,694.0,0.14294728148868724
14,1230,71,695.0,0.12768264311733327
15,909,72,694.0,0.15634045438905284
16,1177,77,699.0,0.13097947057940676
17,358,91,693.0,0.06776141407777146
18,686,93,692.0,0.1509555582070078
19,836,107,1373.0,0.8823328646640938
20,1036,108,700.0,0.04786270435699941
21,635,116,1352.0,0.8642506993434363
22,951,114,695.0,0.17245609947241988
23,476,116,693.0,0.09336994740419134
24,336,120,697.0,0.185669948524963
25,758,133,698.0,0.04697828174728116
26,1142,136,699.0,0.11818478042958215
27,444,156,695.0,0.12063410207065552
28,199,159,691.0,0.10916505647415532
29,1158,169,696.0,0.17408763007456857
30,348,179,1329.0,0.8561923618697606
31,687,175,690.0,0.1495175461106056
32,38,177,689.0,0.1269269101211529
33,415,177,698.0,0.19752608729148277
34,921,176,695.0,0.16873277572349207
35,836,177,689.0,0.15960908765838247
36,1244,184,689.0,0.09611025374300632
37,194,217,696.0,0.1677810886317963
38,1333,237,2342.0,0.5925097533183653
39,657,239,1369.0,0.8744871937089989
40,847,230,695.0,0.10840011009206488
41,1107,258,1373.0,0.8817220628580328
42,526,244,686.0,0.13078716319536035
43,728,269,2495.0,0.7377082210273419
44,869,252,698.0,0.1553981823655208
45,813,254,695.0,0.17227631008145758
46,1183,259,1175.0,0.7814639698157293
47,575,258,698.0,0.19752608729148277
48,1017,258,688.0,0.15090477550881093
49,16,263,697.0,0.1169704729455596
50,475,263,698.0,0.14924586992804958
51,246,272,1140.0,0.7501067456045794
52,763,268,691.0,0.10916505647415532
53,272,304,696.0,0.10902304809900482
54,1010,307,1332.0,0.8525529581922925
55,220,308,697.0,0.12412666926589641
56,12,325,1314.0,0.9124879768848543
57,1286,313,696.0,0.18633956127718979
58,1089,321,694.0,0.07234914412723666
59,1231,332,1304.0,0.8430218148948797
60,1328,341,696.0,0.11817614967015963
61,284,342,698.0,0.19752608729148277
62,979,347,691.0,0.09788411186307626
63,945,363,1400.0,0.8926856495956875
64,388,353,690.0,0.11871933558913644
65,1162,359,698.0,0.10641629940100315
66,728,360,698.0,0.1949146124794876
67,54,376,698.0,0.13037422810557098
68,1159,393,686.0,0.1312136002150137
69,858,400,696.0,0.16987417977690483
70,722,422,1156.0,0.7629835821802945
71,207,424,697.0,0.12564546735737156
72,29,436,1350.0,0.8742143508077836
73,250,447,1307.0,0.840170137277507
74,311,436,694.0,0.10743688657354297
75,528,436,695.0,0.17227631008145758
76,1039,446,1370.0,0.8799626493618413
77,406,452,695.0,0.1561300699980412
78,313,476,1034.0,0.6889165487974819
79,681,476,694.0,0.09071543077077691
80,1339,502,2173.0,0.9024502274092775
81,1141,486,693.0,0.15245812564885375
82,157,489,694.0,0.13169368233032425
83,975,491,698.0,0.19752608729148277
84,217,496,699.0,0.13523659260061566
85,615,504,697.0,0.1914994004871111
86,678,518,1226.0,0.803788000126892
87,1001,516,696.0,0.11766319404808666
88,367,521,700.0,0.08118886516848922
89,912,529,1670.0,0.8917926246357228
90,966,526,692.0,0.09764435006574536
91,320,528,694.0,0.17949712842375784
92,528,544,693.0,0.10562109510389135
93,604,550,700.0,0.03340400402096054
94,830,564,2257.0,0.8749295972820297
95,1276,554,695.0,0.13511088747532396
96,685,566,1226.0,0.8055452917455297
97,883,562,699.0,0.13132413362965273
98,1352,563,691.0,0.09385124119051093
99,313,572,1487.0,0.6568047494513662
100,1081,568,694.0,0.18318086592980268
101,132,579,1397.0,0.8940972543220517
102,15,574,692.0,0.16092995079836098
103,84,585,700.0,0.04671082816092345
104,473,592,696.0,0.12080332559162132
105,944,592,693.0,0.16832992279574582
106,232,594,693.0,0.14938373985305273
107,349,601,699.0,0.07319315975486072
108,736,607,1263.0,0.8308846858048585
109,300,611,691.0,0.12042387993850431
110,1324,624,1393.0,0.893571105893215
111,1171,620,696.0,0.12471429123113341
112,1001,622,699.0,0.12779005199855814
113,160,623,699.0,0.09810276419018567
114,643,623,699.0,0.13284348850107192
115,53,626,699.0,0.07319315975486072
116,444,630,698.0,0.10386377820625618
117,357,645,1081.0,0.7122524142780142
118,1209,644,698.0,0.1133866463865945
119,833,647,689.0,0.131662957641153
120,407,650,1358.0,0.8767604782115304
121,953,650,693.0,0.12276832153527971
122,465,656,697.0,0.10601268669982448
123,646,656,693.0,0.09139806088117779
124,1252,656,698.0,0.1659781564376409
125,553,658,691.0,0.09385124119051093
126,746,658,698.0,0.1568897383916287
127,72,664,698.0,0.19526897547135164
128,1095,665,700.0,0.1330531969799761
129,37,667,699.0,0.15369390057070273
130,683,679,1267.0,0.8295185428031319
131,235,673,693.0,0.16063181656161016
132,783,684,690.0,0.14951754611060486
133,289,692,698.0,0.08547485046570698
134,1277,693,692.0,0.13073113854741336
135,397,694,694.0,0.11362643555819228
136,651,696,698.0,0.11247800833738632
137,1138,700,697.0,0.13081992995864342
138,943,702,698.0,0.11333888682530621
139,1369,729,687.0,0.11370153513144725
140,958,730,697.0,0.1038915096826075
141,406,731,698.0,0.19752608729148277
142,1089,734,687.0,0.1138798027634261
143,518,748,1994.0,0.5836671367191749
144,585,744,696.0,0.1090230480990038
145,912,759,689.0,0.1269269101211529
146,213,766,695.0,0.10840011009206488
147,348,768,688.0,0.12260184655759043
148,1194,769,699.0,0.10420357477822118
149,742,773,698.0,0.1378936350095429
150,28,778,695.0,0.174556638190305
151,385,780,698.0,0.15028121301431754
152,894,790,1098.0,0.7307573381134903
153,697,795,1377.0,0.8772085662584477
154,558,788,697.0,0.09490681890462149
155,833,800,699.0,0.10010418556163381
156,362,802,696.0,0.18601430806709754
