Id,Centroid_x,Centroid_y,Area
1,187,8,536.0
2,951,4,239.0
3,1314,5,338.0
4,1356,15,694.0
5,7,21,446.0
6,1184,21,698.0
7,848,30,689.0
8,974,32,699.0
9,531,41,698.0
10,1002,47,698.0
11,786,48,700.0
12,887,56,1397.0
13,1223,60,1074.0
14,1080,67,699.0
15,458,73,695.0
16,932,83,699.0
17,341,101,1005.0
18,478,101,693.0
19,838,107,1159.0
20,681,105,694.0
21,1036,107,697.0
22,753,122,696.0
23,631,132,1228.0
24,1127,139,699.0
25,188,146,695.0
26,434,159,1384.0
27,830,175,697.0
28,45,177,693.0
29,1147,177,698.0
30,326,185,1321.0
31,690,182,702.0
32,906,190,694.0
33,654,205,695.0
34,190,209,694.0
35,1241,211,698.0
36,1334,214,698.0
37,838,226,691.0
38,1282,229,692.0
39,561,233,695.0
40,1025,246,690.0
41,641,249,697.0
42,736,271,3007.0
43,818,251,693.0
44,1339,252,1081.0
45,1175,258,1154.0
46,233,255,700.0
47,583,257,691.0
48,1100,268,1331.0
49,23,266,694.0
50,861,271,698.0
51,482,280,698.0
52,241,286,688.0
53,1000,300,1271.0
54,281,302,698.0
55,11,324,1479.0
56,1294,311,693.0
57,1233,318,1193.0
58,226,319,699.0
59,1087,327,695.0
60,275,335,691.0
61,1158,347,691.0
62,1326,349,698.0
63,985,353,696.0
64,952,364,1259.0
65,738,363,698.0
66,358,370,688.0
67,48,404,1351.0
68,1143,400,694.0
69,846,403,690.0
70,711,426,700.0
71,496,430,695.0
72,751,431,690.0
73,334,439,691.0
74,258,449,959.0
75,1048,446,698.0
76,212,448,695.0
77,22,456,688.0
78,424,457,694.0
79,672,465,690.0
80,1015,467,699.0
81,1332,503,1895.0
82,317,489,1377.0
83,154,491,697.0
84,1133,491,701.0
85,965,496,1422.0
86,256,498,701.0
87,675,510,1121.0
88,1360,517,695.0
89,611,521,692.0
90,553,529,692.0
91,924,543,1358.0
92,1287,536,698.0
93,314,567,2456.0
94,824,555,2546.0
95,963,544,694.0
96,366,545,695.0
97,1355,555,697.0
98,690,559,1382.0
99,1077,561,698.0
100,615,564,698.0
101,12,565,660.0
102,888,570,691.0
103,143,591,1674.0
104,98,579,689.0
105,1303,584,698.0
106,945,586,697.0
107,203,587,698.0
108,370,628,2386.0
109,744,598,1179.0
110,656,599,694.0
111,462,602,698.0
112,1166,611,699.0
113,291,618,693.0
114,80,624,695.0
115,876,632,696.0
116,428,633,698.0
117,471,635,696.0
118,951,635,693.0
119,1211,636,690.0
120,1325,638,690.0
121,567,643,697.0
122,989,658,690.0
123,408,658,692.0
124,1247,662,688.0
125,735,665,699.0
126,74,668,693.0
127,1087,669,702.0
128,668,680,2004.0
129,239,679,1008.0
130,7,686,436.0
131,919,688,696.0
132,794,697,698.0
133,1150,699,697.0
134,425,710,1389.0
135,1263,712,697.0
136,1369,715,699.0
137,1109,722,698.0
138,955,723,699.0
139,490,732,695.0
140,555,743,1306.0
141,1191,748,697.0
142,890,750,695.0
143,215,755,692.0
144,524,755,699.0
145,756,759,696.0
146,343,761,693.0
147,401,774,695.0
148,903,787,1240.0
149,22,799,1398.0
150,576,786,692.0
151,705,796,1088.0
152,834,809,1350.0
153,359,802,688.0
154,285,821,1101.0
155,1165,821,698.0
156,726,823,696.0
157,642,824,691.0
158,149,856,1201.0
159,231,858,1056.0
160,1192,854,696.0
161,817,867,1391.0
162,674,870,694.0
163,293,879,1045.0
164,990,880,1392.0
165,1165,895,1375.0
166,547,883,699.0
167,108,888,1020.0
168,424,887,697.0
169,37,890,697.0
170,630,898,699.0
171,820,900,693.0
172,506,903,1241.0
173,146,902,695.0
174,727,912,695.0
175,1195,919,699.0
176,864,929,697.0
177,554,932,698.0
178,263,933,699.0
179,60,934,696.0
180,392,947,1138.0
181,327,946,662.0
182,1398,943,46.0
183,1350,949,568.0
184,844,950,520.0
185,119,950,506.0
186,463,954,246.0
187,10,954,223.0
