Id,Centroid_x,Centroid_y,Area
1,11,18,845.0
2,858,10,594.0
3,1297,7,456.0
4,1380,17,696.0
5,174,18,702.0
6,957,19,695.0
7,1179,22,699.0
8,994,41,1035.0
9,772,44,699.0
10,858,45,690.0
11,506,51,691.0
12,1091,51,694.0
13,446,64,694.0
14,1233,67,690.0
15,1180,72,692.0
16,915,76,696.0
17,364,91,696.0
18,686,91,689.0
19,836,102,1324.0
20,622,106,698.0
21,473,108,693.0
22,1033,109,696.0
23,336,111,697.0
24,955,112,700.0
25,648,124,699.0
26,756,130,698.0
27,1140,134,697.0
28,423,163,1387.0
29,1158,166,695.0
30,205,167,688.0
31,348,178,1273.0
32,685,177,697.0
33,42,178,688.0
34,835,181,695.0
35,919,184,699.0
36,1241,189,697.0
37,190,215,687.0
38,1333,236,2298.0
39,650,219,695.0
40,848,231,698.0
41,737,238,696.0
42,1111,256,1244.0
43,534,248,688.0
44,874,250,696.0
45,569,255,700.0
46,808,255,692.0
47,1021,255,694.0
48,1182,257,1316.0
49,13,257,684.0
50,659,257,699.0
51,480,261,699.0
52,726,279,1749.0
53,765,264,695.0
54,247,270,1071.0
55,268,306,697.0
56,1005,310,1310.0
57,13,308,813.0
58,221,309,699.0
59,1230,325,1298.0
60,1289,318,697.0
61,1092,320,685.0
62,11,340,626.0
63,1327,341,691.0
64,283,344,699.0
65,980,345,691.0
66,394,350,697.0
67,939,368,1380.0
68,730,355,696.0
69,1162,359,691.0
70,48,378,698.0
71,1161,396,698.0
72,852,400,696.0
73,721,417,1360.0
74,211,429,695.0
75,245,447,1383.0
76,27,437,1363.0
77,311,438,697.0
78,525,438,693.0
79,1042,447,1242.0
80,412,455,695.0
81,315,481,1153.0
82,677,475,687.0
83,1327,477,699.0
84,159,488,688.0
85,1143,490,697.0
86,971,492,697.0
87,217,498,699.0
88,623,501,691.0
89,676,517,1333.0
90,1341,516,1436.0
91,369,517,698.0
92,986,521,1379.0
93,904,538,2611.0
94,316,525,689.0
95,530,538,690.0
96,608,545,689.0
97,830,564,2132.0
98,1281,557,693.0
99,683,567,1058.0
100,1352,565,694.0
101,311,571,1477.0
102,129,583,1389.0
103,8,573,531.0
104,1081,574,689.0
105,471,585,691.0
106,238,590,698.0
107,83,591,695.0
108,937,594,694.0
109,374,637,3205.0
110,731,608,1169.0
111,303,616,698.0
112,1007,620,700.0
113,160,621,700.0
114,1168,621,690.0
115,1325,628,1258.0
116,58,623,688.0
117,644,627,698.0
118,442,632,698.0
119,1210,636,691.0
120,953,647,690.0
121,1250,651,690.0
122,836,652,695.0
123,750,656,697.0
124,670,670,1919.0
125,76,660,695.0
126,473,661,691.0
127,1102,662,697.0
128,561,663,690.0
129,32,670,698.0
130,233,674,697.0
131,780,676,697.0
132,298,688,700.0
133,398,691,698.0
134,1277,692,697.0
135,937,696,692.0
136,653,699,701.0
137,1148,707,698.0
138,954,727,696.0
139,1371,731,692.0
140,1092,734,699.0
141,589,734,687.0
142,411,739,701.0
143,518,752,1586.0
144,350,761,696.0
145,898,779,1892.0
146,1197,768,698.0
147,211,769,693.0
148,384,774,697.0
149,711,794,2786.0
150,33,780,695.0
151,553,786,698.0
152,836,793,698.0
153,366,808,698.0
154,11,815,639.0
155,276,820,697.0
156,1151,820,696.0
157,653,821,692.0
158,810,833,688.0
159,231,850,1089.0
160,1169,845,690.0
161,306,855,1047.0
162,792,862,696.0
163,705,864,700.0
164,104,870,1297.0
165,172,870,690.0
166,992,879,699.0
167,522,892,1388.0
168,842,883,694.0
169,1149,894,1317.0
170,626,887,690.0
171,315,888,689.0
172,38,890,695.0
173,436,893,699.0
174,727,893,698.0
175,799,898,694.0
176,145,908,1398.0
177,485,901,701.0
178,1197,917,699.0
179,1026,920,697.0
180,361,929,694.0
181,71,933,696.0
182,532,941,698.0
183,861,945,1144.0
184,1392,941,420.0
185,1343,942,698.0
186,332,944,695.0
187,393,947,631.0
188,267,948,603.0
189,451,949,575.0
190,207,954,269.0
191,13,955,188.0
192,133,955,210.0
