area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,centroid-0,centroid-1
993.0,1041.0,1092.0,47.406025439383434,28.043701304044742,129.1126983722081,35.55737431141417,0.9887013012657228,0.9538904899135446,0.8062579936149622,19.68479355488419,11.66968781470292
676.0,689.0,810.0,30.58443960567785,28.26750752861521,94.18376618407356,29.33785834448333,0.9840816800092819,0.9811320754716981,0.3818005430934811,12.374260355029586,857.3180473372781
710.0,728.0,900.0,30.148281605134468,29.98124993326369,96.66904755831213,30.066594033278285,0.9795581331123999,0.9752747252747253,0.10511888871321776,14.714084507042253,1176.5887323943662
704.0,720.0,870.0,30.154127659626123,29.72834491853246,95.84062043356595,29.93928254807644,0.9809826203208556,0.9777777777777777,0.16745461450770843,13.825284090909092,1297.325284090909
712.0,732.0,900.0,30.185280902696867,30.03008260711855,97.25483399593904,30.10891156869401,0.9769883234192553,0.9726775956284153,0.1012749198647619,16.698033707865168,957.3623595505618
711.0,729.0,900.0,30.198232890715392,29.974735995077758,96.66904755831214,30.087760240780646,0.9780094316207496,0.9753086419753086,0.12143809263528955,16.68073136427567,1378.309423347398
707.0,727.0,930.0,30.10733422108221,29.899445270393688,96.91168824543142,30.003005818213616,0.9817677566075935,0.9724896836313618,0.11731230268373152,19.994342291371993,175.52050919377652
922.0,950.0,1224.0,37.80729119885408,31.096292179941788,112.5685424949238,34.262616074167774,0.9805112500531665,0.9705263157894737,0.5687729443268904,42.678958785249456,996.3579175704989
711.0,729.0,900.0,30.206518188681777,29.967120662973286,96.66904755831214,30.087760240780646,0.9771545186288298,0.9753086419753086,0.12564994358067563,45.26019690576653,513.3080168776371
711.0,729.0,900.0,30.176101923396516,29.996343404641056,96.66904755831213,30.087760240780646,0.9773144700918343,0.9753086419753086,0.10898843913666405,50.71308016877637,770.3473980309424
711.0,729.0,900.0,30.1722669300401,29.99951828740505,96.66904755831214,30.087760240780646,0.9778384490223656,0.9753086419753086,0.10685524118679991,50.32208157524613,848.323488045007
707.0,725.0,900.0,30.135910579381463,29.866150168397812,96.08326112068524,30.003005818213616,0.9816013534126522,0.9751724137931035,0.13350203073463068,51.85997171145686,1091.4568599717115
707.0,724.0,900.0,30.004841726544125,29.99700549132217,96.08326112068524,30.003005818213616,0.982106109770641,0.9765193370165746,0.022853078007603507,67.1994342291372,1232.5417256011315
711.0,730.0,900.0,30.20716106580745,29.964968573151758,96.66904755831214,30.087760240780646,0.9787374865558037,0.9739726027397261,0.12637702236157694,70.61462728551336,442.774964838256
711.0,730.0,900.0,30.20716106580745,29.964968573151758,96.66904755831214,30.087760240780646,0.9778439645900554,0.9739726027397261,0.12637702236157608,72.38537271448664,1180.225035161744
706.0,724.0,900.0,30.10200255604537,29.8580792049444,96.08326112068524,29.98177977677484,0.9819252346831084,0.9751381215469613,0.1270464133084285,75.84844192634561,915.4390934844192
1207.0,1269.0,1755.0,49.95601153408575,31.174878235788942,135.29646455628165,39.202042427599885,0.9822376009227219,0.9511426319936959,0.7813871407978012,95.10770505385253,835.0149130074565
708.0,727.0,900.0,30.09344279165105,29.953716036673626,96.66904755831213,30.024216853608277,0.9812673091835604,0.9738651994497937,0.09625297083978225,97.85875706214689,685.5409604519774
712.0,728.0,900.0,30.269721007034438,29.94527031509594,96.66904755831214,30.10891156869401,0.9776933245208196,0.978021978021978,0.14602198513243636,98.53089887640449,365.6980337078652
706.0,728.0,900.0,30.041379801821332,29.92842283755977,97.25483399593904,29.98177977677484,0.9787646503360551,0.9697802197802198,0.08663690712533201,107.04249291784703,470.79603399433427
706.0,724.0,900.0,30.162049187770968,29.798120259850073,96.08326112068524,29.98177977677484,0.9822807309892796,0.9751381215469613,0.15487412685486157,107.5,1033.1189801699716
709.0,730.0,900.0,30.21717519210251,29.879537051933255,96.66904755831214,30.045412914740087,0.9778146519538704,0.9712328767123287,0.14907240012769318,108.18899858956276,619.1650211565585
708.0,736.0,930.0,30.137544299694532,29.91941776400013,98.08326112068522,30.024216853608277,0.9774232856984602,0.9619565217391305,0.1200958690459701,109.94209039548022,953.8855932203389
711.0,729.0,900.0,30.16529683358972,30.007685026445024,96.66904755831213,30.087760240780646,0.9776564352886021,0.9753086419753086,0.10209101879064866,112.30661040787624,332.41631504922645
711.0,728.0,900.0,30.165579506239037,30.005730084870788,96.66904755831214,30.087760240780646,0.9769559581919969,0.9766483516483516,0.10281076560499919,123.61462728551336,650.2728551336146
708.0,727.0,900.0,30.033114326882043,30.01154954518348,96.66904755831214,30.024216853608277,0.9803755400465272,0.9738651994497937,0.03788867106126422,134.21468926553672,759.4505649717514
710.0,728.0,900.0,30.069975346555108,30.05918810218577,96.66904755831214,30.066594033278285,0.980082850041425,0.9752747252747253,0.026783342030700142,139.22957746478872,1146.5732394366198
1354.0,1480.0,2200.0,59.08559110488605,30.459848361453105,154.95331880577402,41.520673688795206,0.9828945462971007,0.9148648648648648,0.8568770939932279,161.47193500738553,421.6669128508124
711.0,728.0,900.0,30.165579506239034,30.005730084870784,96.66904755831214,30.087760240780646,0.9797633821461074,0.9766483516483516,0.1028107656050008,161.38537271448664,203.72714486638537
1050.0,1086.0,1435.0,42.867017087389485,31.323658800944433,122.22539674441617,36.56366395715726,0.9816732026143791,0.9668508287292817,0.6826804837316548,177.86380952380952,349.1304761904762
708.0,736.0,930.0,30.121409952805923,29.936105073829758,98.08326112068522,30.024216853608277,0.9777777777777777,0.9619565217391305,0.11075205914061166,176.07062146892656,692.0522598870057
