Id,Centroid_x,Centroid_y,Area,Eccentricity
3,617,26,229.0,0.7350684100472655
7,646,51,661.0,0.8968446465917096
8,767,46,956.0,0.9732882681244901
9,552,49,565.0,0.6832934280021492
11,716,71,311.0,0.3855400520488152
14,490,75,225.0,0.7274783292499514
15,510,86,268.0,0.5413011321856668
16,719,92,287.0,0.3959640913963789
17,762,94,194.0,0.797930331843669
18,559,102,134.0,0.9214254046102172
19,693,108,113.0,0.9406547066783638
20,629,130,336.0,0.3826692510150434
21,745,149,1204.0,0.892659069287763
22,598,129,172.0,0.8223894568790603
23,803,147,124.0,0.9204232655165167
24,634,153,290.0,0.2765337917251571
26,546,190,184.0,0.7907858536037232
27,640,197,287.0,0.4673350391824446
28,592,216,1695.0,0.7812114989944976
30,461,213,140.0,0.9089298680249579
31,736,240,199.0,0.7794157994851665
32,693,247,1092.0,0.895376137961192
33,792,248,521.0,0.7568530441244629
34,510,254,317.0,0.28986239160403265
35,714,274,325.0,0.42153421753700504
36,547,297,731.0,0.7959664884950174
37,766,322,1838.0,0.9312924401511008
38,894,297,534.0,0.8090450560484567
40,981,294,312.0,0.42371539284622695
41,820,322,1441.0,0.7901736912207208
43,964,317,302.0,0.3020896954548442
46,662,326,170.0,0.8371294761621417
47,579,371,3281.0,0.9694607679730791
48,912,335,525.0,0.7252810538940667
49,436,340,237.0,0.6482557719527517
50,629,352,675.0,0.8909375444790815
51,980,351,668.0,0.8949973955084606
52,348,352,556.0,0.718752904761507
53,722,351,325.0,0.34297753919171947
56,694,354,307.0,0.2938662534590529
57,664,355,298.0,0.29544928159130174
58,497,370,1082.0,0.9079697659184192
61,759,369,323.0,0.4883664017199086
62,775,392,519.0,0.7818970224421916
63,701,405,1678.0,0.40147595851334467
64,904,402,241.0,0.7002332530850894
65,757,414,658.0,0.8381698295191081
68,491,428,138.0,0.912384785072723
69,539,435,516.0,0.7338784795586822
71,585,444,533.0,0.7476569575056153
74,869,459,708.0,0.8111146379994115
76,976,456,159.0,0.8920763780253069
77,373,476,468.0,0.8182478907737402
78,466,474,290.0,0.48009384771160146
79,654,485,549.0,0.7174225156120374
82,482,495,155.0,0.8824494132730886
84,669,513,351.0,0.5076543291457682
85,448,520,318.0,0.24401547795705905
86,636,530,334.0,0.5212222832713312
87,683,610,117.0,0.9373768357822315
88,756,625,316.0,0.41217468562985654
89,703,627,344.0,0.5276968490663875
90,495,629,268.0,0.5446594773692741
92,593,635,321.0,0.24166002424007493
