Id,Centroid_x,Centroid_y,Area,Eccentricity
3,618,25,260.0,0.6332754638127153
7,653,38,314.0,0.29151581619327316
8,772,45,932.0,0.9264354049337887
9,720,40,209.0,0.7516512794624945
10,559,57,348.0,0.3998335917309621
11,527,57,229.0,0.8508868010126088
12,642,66,530.0,0.7652925405215261
13,699,67,295.0,0.25539940707641245
15,504,71,254.0,0.6770188052915416
16,573,82,230.0,0.7016734421612557
17,519,91,323.0,0.29071745022169354
18,716,94,316.0,0.2921836732338047
19,742,107,209.0,0.7471536566084886
20,791,115,221.0,0.6940782346984142
21,744,148,1209.0,0.891107739779107
22,635,132,426.0,0.8678936218837756
25,591,214,1901.0,0.7598808166837536
26,663,196,137.0,0.8935329037081025
27,693,247,1080.0,0.8975089256532062
28,791,247,496.0,0.7314454088315503
29,736,249,283.0,0.48505349474991977
30,511,258,320.0,0.1999047434150728
31,491,267,180.0,0.8194414683228636
32,712,272,327.0,0.3331682921811499
33,978,279,286.0,0.4535741941197022
34,546,296,739.0,0.8110931611233386
35,766,321,1854.0,0.924481456468605
36,888,291,310.0,0.33444500014428435
39,820,322,1422.0,0.7871857918506675
40,962,313,269.0,0.5214824522185206
43,912,333,641.0,0.6577024626289665
44,633,343,1002.0,0.9412783714566402
45,485,323,219.0,0.7300806733441562
46,579,369,3242.0,0.967625861444899
47,349,352,540.0,0.7486254058132648
48,965,345,185.0,0.837181182848608
50,722,351,315.0,0.23315153796843813
55,999,354,242.0,0.6592400584383078
56,497,370,1118.0,0.9151146154367706
57,667,361,289.0,0.4184568722712777
58,697,360,299.0,0.3536189474664681
61,770,387,876.0,0.9367842712302895
63,702,405,1684.0,0.38851769269491704
64,887,399,216.0,0.7237017738773055
65,758,413,678.0,0.8413414520114308
68,905,423,175.0,0.8482826601289044
69,481,429,172.0,0.8466487320552184
70,539,435,514.0,0.7240517078563584
72,586,445,529.0,0.7506377517583858
74,869,457,711.0,0.8002023232807609
77,370,473,541.0,0.8086440170540403
78,483,467,212.0,0.7364339701130722
79,654,485,556.0,0.7186010675817132
82,446,484,256.0,0.569278299520153
84,445,505,309.0,0.22075291789080317
85,668,511,357.0,0.5063552911324565
86,660,531,332.0,0.4161531147364161
87,753,618,320.0,0.45351609234173734
88,490,622,312.0,0.03774685088987681
89,705,630,329.0,0.45429390183226565
90,583,632,317.0,0.1816919678402145
91,613,667,214.0,0.7148969952545702
