Id,Key
1,7
2,362
3,5
4,6
5,1
6,4
7,414
8,508
9,9
10,10
11,507
12,411
13,393
14,12
15,358
16,22
17,412
18,19
19,17
20,428
21,24
22,26
23,253
24,27
25,29
26,492
27,509
28,34
29,296
30,33
31,30
32,31
33,35
34,381
35,37
36,36
37,270
38,264
39,506
40,454
41,43
42,261
43,401
44,46
45,49
46,374
47,45
48,467
49,425
50,244
51,50
52,484
53,54
54,56
55,310
56,504
57,286
58,476
59,58
60,320
61,69
62,62
63,66
64,64
65,480
66,272
67,70
68,71
69,405
70,74
71,77
72,438
73,395
74,321
75,444
76,78
77,468
78,75
79,441
80,496
81,307
82,85
83,83
84,86
85,413
86,87
87,477
88,96
89,497
90,98
91,100
92,510
93,399
94,90
95,416
96,451
97,103
98,99
99,420
100,106
101,442
102,109
103,258
104,434
105,342
106,111
107,120
108,107
109,115
110,489
111,114
112,123
113,124
114,121
115,392
116,469
117,128
118,113
119,499
120,122
121,190
122,125
123,242
124,129
125,435
126,131
127,295
128,137
129,132
130,315
131,139
132,302
133,126
134,292
135,140
136,481
137,250
138,147
139,144
140,231
141,288
142,145
143,436
144,439
145,152
146,502
147,148
148,474
149,246
150,160
151,385
152,422
153,197
154,486
155,462
156,161
157,482
158,503
159,159
160,193
161,511
162,167
163,432
164,169
165,200
166,170
167,490
168,171
169,168
170,368
171,201
172,176
173,198
174,182
175,491
176,178
177,181
178,177
179,186
180,185
181,179
182,180
183,184
