Id,Key
1,7
2,362
3,5
4,6
5,1
6,4
7,508
8,414
9,10
10,9
11,507
12,411
13,393
14,12
15,512
16,358
17,22
18,412
19,19
20,17
21,428
22,24
23,26
24,253
25,27
26,29
27,492
28,509
29,34
30,296
31,30
32,33
33,31
34,35
35,381
36,37
37,36
38,270
39,264
40,506
41,518
42,43
43,261
44,374
45,401
46,46
47,45
48,519
49,244
50,425
51,50
52,513
53,54
54,56
55,504
56,286
57,310
58,476
59,514
60,58
61,320
62,69
63,62
64,66
65,64
66,480
67,272
68,70
69,71
70,405
71,77
72,74
73,438
74,321
75,395
76,444
77,78
78,75
79,468
80,441
81,496
82,307
83,85
84,83
85,86
86,413
87,477
88,87
89,96
90,497
91,515
92,520
93,98
94,399
95,90
96,451
97,420
98,103
99,99
100,106
101,100
102,442
103,109
104,258
105,434
106,342
107,111
108,120
109,516
110,107
111,115
112,114
113,489
114,124
115,123
116,121
117,469
118,392
119,128
120,113
121,499
122,190
123,122
124,125
125,242
126,129
127,435
128,131
129,295
130,137
131,132
132,315
133,139
134,126
135,302
136,292
137,140
138,481
139,144
140,250
141,147
142,231
143,288
144,145
145,439
146,152
147,436
148,502
149,246
150,148
151,474
152,160
153,385
154,486
155,422
156,197
157,161
158,482
159,462
160,503
161,159
162,511
163,193
164,432
165,167
166,200
167,169
168,170
169,168
170,171
171,490
172,517
173,368
174,201
175,176
176,198
177,182
178,178
179,491
180,181
181,177
182,185
183,186
184,179
185,180
186,184
