Id,Centroid_x,Centroid_y,Area,Eccentricity
5,739,35,346.0,0.8817576750056524
9,589,37,257.0,0.5758471810789804
10,657,40,320.0,0.3003964229944831
11,771,46,422.0,0.6962516894201016
12,791,45,206.0,0.9001948768228283
14,610,62,294.0,0.2594457323916607
15,491,70,400.0,0.7135665627136174
16,533,76,571.0,0.8438001869399777
17,655,70,268.0,0.5147103071243068
18,707,75,179.0,0.8393265938165085
19,724,94,242.0,0.6339029996653099
20,703,105,254.0,0.635263105735434
21,610,117,317.0,0.27843911670463556
22,743,148,1286.0,0.9410912318304394
23,803,133,312.0,0.1556318460825584
24,704,134,145.0,0.8774981966751307
25,625,145,319.0,0.33409467406256554
27,650,184,637.0,0.9165069468738585
28,615,188,263.0,0.5508701361158879
29,590,218,1262.0,0.881442670433609
30,538,207,290.0,0.44366272538156115
31,624,217,322.0,0.2430162960077996
32,948,233,143.0,0.8915288932454799
33,678,248,510.0,0.7427613058256848
34,715,257,1148.0,0.7654533875307318
35,792,250,511.0,0.750699553205307
36,515,262,309.0,0.11403760530962279
38,943,266,259.0,0.4966061721739101
39,463,277,177.0,0.8171527562568756
40,766,322,1818.0,0.937744671093314
42,568,352,3680.0,0.967012594062336
43,983,294,288.0,0.5298047229393094
44,901,300,280.0,0.36268468090949396
46,821,322,1410.0,0.7554625265194274
48,669,329,320.0,0.2948876868698049
49,429,329,291.0,0.35681599523172175
50,912,337,492.0,0.7039641802401311
51,634,354,993.0,0.7557366305014587
52,347,351,551.0,0.678030246652798
53,499,370,1142.0,0.9103586740205885
54,709,370,321.0,0.30719755875345767
55,766,384,881.0,0.9386642760895719
56,987,380,618.0,0.8921591649584075
57,699,405,1699.0,0.5071621849123304
59,759,415,649.0,0.8387860056482148
60,879,412,277.0,0.5847892221147893
61,646,419,297.0,0.30629937524792916
63,539,435,513.0,0.7283291081838232
65,489,434,328.0,0.7516133706769097
66,585,444,526.0,0.7329385132588816
68,872,468,1049.0,0.9177656883627461
69,359,470,453.0,0.8178684720000855
70,654,487,595.0,0.6844408781680279
73,665,515,362.0,0.5403729681539889
74,429,517,324.0,0.2642420328978235
75,643,523,335.0,0.4678736474599033
76,522,532,242.0,0.6558719038523986
78,475,610,318.0,0.16795106773386237
79,719,629,244.0,0.6173335612854054
80,572,633,322.0,0.20921380276445636
81,747,666,684.0,0.8941050706759168
