Id,Centroid_x,Centroid_y,Area,Eccentricity
3,650,31,334.0,0.29912617275091813
7,604,46,501.0,0.8148809077922663
9,748,41,307.0,0.38240030006347414
10,782,44,480.0,0.8524168896138435
11,718,48,483.0,0.779932335955506
12,497,71,621.0,0.9124417697677667
13,650,75,304.0,0.33016679165903623
14,699,104,632.0,0.8932256694583754
15,644,127,1179.0,0.9612241807500217
16,737,132,526.0,0.7675920916515807
17,795,134,308.0,0.2095882183642424
18,692,145,120.0,0.9352039211328876
19,460,147,148.0,0.896347639192988
20,614,165,317.0,0.20437463935512004
21,754,170,527.0,0.7768985467453565
22,530,170,255.0,0.6348290069427939
23,653,198,321.0,0.30740257318677006
24,589,218,1258.0,0.8685022393305285
25,926,217,304.0,0.2825792865864926
26,624,222,319.0,0.21880259041773983
27,678,247,503.0,0.7306879861763769
28,708,247,529.0,0.7286681577064501
29,792,251,490.0,0.7229259102983898
30,401,249,167.0,0.8457848574804191
31,755,250,246.0,0.6011127867786468
32,514,259,320.0,0.24039595019586785
33,931,260,180.0,0.8052478072774242
34,716,274,344.0,0.5335680925734311
35,766,321,1858.0,0.944880201186848
36,986,293,329.0,0.38354293889993696
37,567,353,3611.0,0.9665145061882627
38,899,296,312.0,0.34133242365681454
40,821,322,1418.0,0.7418766221178621
41,669,321,319.0,0.3073749633650712
42,460,322,319.0,0.17412189142572093
43,914,339,520.0,0.7564779226901033
44,345,350,574.0,0.6786865129658824
45,635,346,346.0,0.22534099154990708
46,616,357,323.0,0.2222871602554396
47,715,357,259.0,0.5200108277936233
48,498,370,1111.0,0.8814000960385913
49,676,364,149.0,0.891727672314362
50,988,367,278.0,0.5552007504293122
51,766,382,847.0,0.9250625249493272
53,698,405,1673.0,0.5636905118675647
54,487,392,142.0,0.9116591043656942
55,984,404,332.0,0.35073351949320075
56,761,418,685.0,0.8447440494360692
59,635,418,247.0,0.6513925733342714
61,508,431,318.0,0.3034466125448412
62,539,434,521.0,0.7286688721190948
64,670,432,254.0,0.5677600714883198
65,867,452,961.0,0.906940030258466
67,585,443,537.0,0.7442621054105829
70,358,469,497.0,0.8394745324076103
71,657,487,565.0,0.745305166890208
72,870,495,327.0,0.4534157080094991
73,667,517,359.0,0.5451843483862584
74,421,518,323.0,0.23039825990812116
75,542,524,337.0,0.28070522164072537
77,647,527,344.0,0.4745647900089377
78,492,632,188.0,0.8158584681427498
79,578,638,322.0,0.2812669449402864
80,745,666,813.0,0.841675302250297
